Number	sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	Vaccine	pubmedID_edit	pubmed_update	
13	AF079922	AL_Africa-3	Africa-3	-	-	-	-	-	1999	595	16-Jun-99	21-Mar-05	-	15763147	m466	South Africa	filled in	Bothaville	filled in	1990	filled in	1990	filled in	1990	updated	Cynictis penicillata	filled in		no	no	15763147	unchanged	
14	AF079923	AL_Africa-3	Africa-3	-	-	-	-	-	1999	595	16-Jun-99	21-Mar-05	-	15763147	m480	South Africa	filled in	Bloemhof	filled in	1990	filled in	1990	filled in	1990	updated	Cynictis penicillata	filled in		no	no	15763147	unchanged	
39	AY353999	AL_Africa-3	Africa-3	-	-	-	-	-	2004	595	01-Aug-04	26-Jul-16	-	15763147	830/95	South Africa	filled in	Queenstown	filled in	1995	filled in	1995	filled in	1995	updated	Genetta genetta	filled in		no	no	15763147	unchanged	
48	AY354008	AL_Africa-3	Africa-3	-	-	-	-	-	2004	595	01-Aug-04	26-Jul-16	-	15763147	96/195	South Africa	filled in	Vryheid	filled in	1995	filled in	1995	filled in	1995	updated	Galerella sanguinea	filled in		no	no	15763147	unchanged	
49	AY354009	AL_Africa-3	Africa-3	-	-	-	-	-	2004	595	01-Aug-04	26-Jul-16	-	15763147	767/95	South Africa	filled in	Kroonstad	filled in	1995	filled in	1995	filled in	1995	updated	Cynictis penicillata	filled in		no	no	15763147	unchanged	
53	AY354013	AL_Africa-3	Africa-3	-	-	-	-	-	2004	595	01-Aug-04	26-Jul-16	-	15763147	271/98	South Africa	filled in	Bothaville	filled in	1998	filled in	1998	filled in	1998	updated	Suricata suricatta	filled in		no	no	15763147	unchanged	
54	AY354014	AL_Africa-3	Africa-3	-	-	-	-	-	2004	595	01-Aug-04	26-Jul-16	-	15763147	518/96	South Africa	filled in	Ventersdorp	filled in	1996	filled in	1996	filled in	1996	updated	Felis catus	filled in		no	no	15763147	unchanged	
74	EU163320	AL_Africa-3	Africa-3	-	-	-	-	-	2009	595	15-May-09	26-Jul-16	-	19428751	302/05	South Africa	filled in	Viljoenskroon	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
97	JN162082	AL_Africa-3	Africa-3	ZAF	South Africa	-	2008	2008	2008	595	31-Dec-12	31-Dec-12	-	-	131-08	South Africa	unchanged	-	unchanged	2008	unchanged	2008	unchanged	2008	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
102	JN162087	AL_Africa-3	Africa-3	ZAF	South Africa	-	2008	2008	2008	595	31-Dec-12	31-Dec-12	-	-	27-Aug	South Africa	unchanged	-	unchanged	2008	unchanged	2008	unchanged	2008	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
50	AY354010	AL_Africa-3	Africa-3	-	-	-	-	-	2004	594	01-Aug-04	26-Jul-16	-	15763147	557/95	South Africa	filled in	Wolmaranstad	filled in	1995	filled in	1995	filled in	1995	updated	Canis	filled in	Canine	no	no	15763147	unchanged	Canine
51	AY354011	AL_Africa-3	Africa-3	-	-	-	-	-	2004	594	01-Aug-04	26-Jul-16	-	15763147	716/95	South Africa	filled in	Wesselbrom	filled in	1995	filled in	1995	filled in	1995	updated	Suricata suricatta	filled in		no	no	15763147	unchanged	
55	AY354015	AL_Africa-3	Africa-3	-	-	-	-	-	2004	594	01-Aug-04	26-Jul-16	-	15763147	984/95	South Africa	filled in	Bloemhof	filled in	1995	filled in	1995	filled in	1995	updated	Canis	filled in	Canine	no	no	15763147	unchanged	Canine
59	EU163293	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	1039/99	South Africa	filled in	Odendaalsrus	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
60	EU163295	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	568/00	South Africa	filled in	Kroonstad	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
61	EU163296	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	229/02	South Africa	filled in	Vrede	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
63	EU163300	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	749/96	South Africa	filled in	Clocolan	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
64	EU163301	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	559/98	South Africa	filled in	Bothaville	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
65	EU163302	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	600/96	South Africa	filled in	Viljoenskroon	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
67	EU163304	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	828/99	South Africa	filled in	Ladybrand	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
68	EU163305	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	808/95	South Africa	filled in	Vrede	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
69	EU163306	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	1003/99	South Africa	filled in	Vrede	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
70	EU163307	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	756/99	South Africa	filled in	Hennenman	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
72	EU163311	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	18-Mar	South Africa	filled in	Bethlehem	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
73	EU163318	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	88/04	South Africa	filled in	Bultfontein	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
75	EU163321	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	319/05	South Africa	filled in	Hoopstad	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
76	EU163326	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	385/06	South Africa	filled in	Senekal	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
77	EU163334	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	114/02	South Africa	filled in	Brandfort	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
78	EU163342	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	101/01	South Africa	filled in	Vrede	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
79	EU163351	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	329/02	South Africa	filled in	Heilbron	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
81	EU163369	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	357/05	South Africa	filled in	Winburg	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
82	EU163370	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	1050/06	South Africa	filled in	Kroonstad	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
83	EU163371	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	472/98	South Africa	filled in	Kroonstad	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
84	EU163381	AL_Africa-3	Africa-3	-	-	-	-	-	2009	594	15-May-09	26-Jul-16	-	19428751	568/02	South Africa	filled in	Senekal	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
93	JN162078	AL_Africa-3	Africa-3	ZAF	South Africa	-	2006	2006	2006	594	31-Dec-12	31-Dec-12	-	-	18-Jun	South Africa	unchanged	-	unchanged	2006	unchanged	2006	unchanged	2006	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
95	JN162080	AL_Africa-3	Africa-3	ZAF	South Africa	-	2006	2006	2006	594	31-Dec-12	31-Dec-12	-	-	696-06	South Africa	unchanged	-	unchanged	2006	unchanged	2006	unchanged	2006	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
96	JN162081	AL_Africa-3	Africa-3	ZAF	South Africa	-	2006	2006	2006	594	31-Dec-12	31-Dec-12	-	-	265-06	South Africa	unchanged	-	unchanged	2006	unchanged	2006	unchanged	2006	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
100	JN162085	AL_Africa-3	Africa-3	ZAF	South Africa	-	2007	2007	2007	594	31-Dec-12	31-Dec-12	-	-	204-07	South Africa	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
101	JN162086	AL_Africa-3	Africa-3	ZAF	South Africa	-	2007	2007	2007	594	31-Dec-12	31-Dec-12	-	-	13-Jul	South Africa	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
104	JN162089	AL_Africa-3	Africa-3	ZAF	South Africa	-	2006	2006	2006	594	31-Dec-12	31-Dec-12	-	-	456-06	South Africa	unchanged	-	unchanged	2006	unchanged	2006	unchanged	2006	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
105	JN162090	AL_Africa-3	Africa-3	ZAF	South Africa	-	2006	2006	2006	594	31-Dec-12	31-Dec-12	-	-	57-06	South Africa	unchanged	-	unchanged	2006	unchanged	2006	unchanged	2006	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
7	AF079916	AL_Africa-3	Africa-3	-	-	-	-	-	1999	593	16-Jun-99	21-Mar-05	-	15763147	ge1236	South Africa	filled in	Vryburg	filled in	1980	filled in	1980	filled in	1980	updated	Genetta genetta	filled in		no	no	15763147	unchanged	No information in paper, found in another
40	AY354000	AL_Africa-3	Africa-3	-	-	-	-	-	2004	593	01-Aug-04	26-Jul-16	-	15763147	SN0080	Namibia	filled in	Mariental	filled in	1980	filled in	1980	filled in	1980	updated	Genetta genetta	filled in		no	no	15763147	unchanged	
43	AY354003	AL_Africa-3	Africa-3	-	-	-	-	-	2004	593	01-Aug-04	26-Jul-16	-	15763147	558/95	South Africa	filled in	Middelburg	filled in	1995	filled in	1995	filled in	1995	updated	Suricata suricatta	filled in		no	no	15763147	unchanged	
45	AY354005	AL_Africa-3	Africa-3	-	-	-	-	-	2004	593	01-Aug-04	26-Jul-16	-	15763147	810/95	South Africa	filled in	Bloemfontein	filled in	1995	filled in	1995	filled in	1995	updated	Canis mesomelas	filled in		no	no	15763147	unchanged	
56	AY605022	AL_Africa-3	Africa-3	ZWE	Zimbabwe	-	-	-	2005	593	30-Apr-05	26-Jul-16	-	-	fel28841	Zimbabwe	unchanged	-	unchanged	-	unchanged	1984	filled in	2003	updated	-	unchanged		no	no	-	unchanged	1984-2003, canis or felis
71	EU163309	AL_Africa-3	Africa-3	-	-	-	-	-	2009	593	15-May-09	26-Jul-16	-	19428751	106/03	South Africa	filled in	Welkom	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
92	JN162077	AL_Africa-3	Africa-3	ZAF	South Africa	-	2006	2006	2006	593	31-Dec-12	31-Dec-12	-	-	956-06	South Africa	unchanged	-	unchanged	2006	unchanged	2006	unchanged	2006	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
16	AF079925	AL_Africa-3	Africa-3	-	-	-	-	-	1999	592	16-Jun-99	21-Mar-05	-	15763147	m710	South Africa	filled in	Fauresmith	filled in	1990	filled in	1990	filled in	1990	updated	Cynictis penicillata	filled in		no	no	15763147	unchanged	
17	AF079926	AL_Africa-3	Africa-3	-	-	-	-	-	1999	592	16-Jun-99	21-Mar-05	-	15763147	m732	South Africa	filled in	Bultfontein	filled in	1990	filled in	1990	filled in	1990	updated	Cynictis penicillata	filled in		no	no	15763147	unchanged	
18	AF079927	AL_Africa-3	Africa-3	-	-	-	-	-	1999	592	16-Jun-99	21-Mar-05	-	15763147	j5	South Africa	filled in	Rouxville	filled in	1991	filled in	1991	filled in	1991	updated	Canis mesomelas	filled in		no	no	15763147	unchanged	
20	AF079929	AL_Africa-3	Africa-3	-	-	-	-	-	1999	592	16-Jun-99	21-Mar-05	-	15763147	d421	South Africa	filled in	Albany	filled in	1992	filled in	1992	filled in	1992	updated	Canis	filled in	Canine	no	no	15763147	unchanged	Canine
21	AF079930	AL_Africa-3	Africa-3	-	-	-	-	-	1999	592	16-Jun-99	21-Mar-05	-	15763147	gal636	South Africa	filled in	Cradock	filled in	1990	filled in	1990	filled in	1990	updated	Galerella pulverulenta	filled in		no	no	15763147	unchanged	
22	AF079931	AL_Africa-3	Africa-3	-	-	-	-	-	1999	592	16-Jun-99	21-Mar-05	-	15763147	s19	South Africa	filled in	-	unchanged	-	unchanged	-	unchanged	1999	unchanged	-	unchanged		no	no	15763147	unchanged	
37	AY353997	AL_Africa-3	Africa-3	-	-	-	-	-	2004	592	01-Aug-04	26-Jul-16	-	15763147	522/95	South Africa	filled in	Hofmeyr	filled in	1995	filled in	1995	filled in	1995	updated	Felis serval	filled in		no	no	15763147	unchanged	
38	AY353998	AL_Africa-3	Africa-3	-	-	-	-	-	2004	592	01-Aug-04	26-Jul-16	-	15763147	192/95	South Africa	filled in	Albany	filled in	1995	filled in	1995	filled in	1995	updated	Felis	filled in	Feline	no	no	15763147	unchanged	Feline
41	AY354001	AL_Africa-3	Africa-3	-	-	-	-	-	2004	592	01-Aug-04	26-Jul-16	-	15763147	532/95	South Africa	filled in	Murraysburg	filled in	1995	filled in	1995	filled in	1995	updated	Canis	filled in	Canine	no	no	15763147	unchanged	Canine
42	AY354002	AL_Africa-3	Africa-3	-	-	-	-	-	2004	592	01-Aug-04	26-Jul-16	-	15763147	610/96	South Africa	filled in	Somerset East	filled in	1996	filled in	1996	filled in	1996	updated	Atilax paludinosus	filled in		no	no	15763147	unchanged	
44	AY354004	AL_Africa-3	Africa-3	-	-	-	-	-	2004	592	01-Aug-04	26-Jul-16	-	15763147	364/96	South Africa	filled in	Uitenhage	filled in	1996	filled in	1996	filled in	1996	updated	Cynictis penicillata	filled in		no	no	15763147	unchanged	
47	AY354007	AL_Africa-3	Africa-3	-	-	-	-	-	2004	592	01-Aug-04	26-Jul-16	-	15763147	760/95	South Africa	filled in	Molteno	filled in	1995	filled in	1995	filled in	1995	updated	Cynictis penicillata	filled in		no	no	15763147	unchanged	
52	AY354012	AL_Africa-3	Africa-3	-	-	-	-	-	2004	592	01-Aug-04	26-Jul-16	-	15763147	285/98	South Africa	filled in	Bultfontein	filled in	1998	filled in	1998	filled in	1998	updated	Cynictis penicillata	filled in		no	no	15763147	unchanged	
58	EU163292	AL_Africa-3	Africa-3	-	-	-	-	-	2009	592	15-May-09	26-Jul-16	-	19428751	1078/97	South Africa	filled in	Brandfort	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
62	EU163299	AL_Africa-3	Africa-3	-	-	-	-	-	2009	592	15-May-09	26-Jul-16	-	19428751	475/96	South Africa	filled in	Odendaalsrus	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
66	EU163303	AL_Africa-3	Africa-3	-	-	-	-	-	2009	592	15-May-09	26-Jul-16	-	19428751	291/95	South Africa	filled in	Brandfort	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
80	EU163362	AL_Africa-3	Africa-3	-	-	-	-	-	2009	592	15-May-09	26-Jul-16	-	19428751	123/04	South Africa	filled in	Wepener Town	filled in	-	unchanged	1995	filled in	2007	updated	Herpestes	filled in	Mongoose	no	no	19428751	unchanged	1995-2007, Mongoose
86	GQ918329	AL_Africa-3	Africa-3	ZAF	South Africa	-	-	-	2009	592	13-Oct-09	24-Jul-16	-	21036195	17.05	South Africa	unchanged	Jagersfontein	filled in	2005	filled in	2005	filled in	2005	updated	Caracal caracal	filled in		no	no	21036195	unchanged	
87	GQ983421	AL_Africa-3	Africa-3	ZAF	South Africa	-	-	-	2009	592	13-Oct-09	24-Jul-16	-	21036195	232.92	South Africa	unchanged	Vereeniging	filled in	1992	filled in	1992	filled in	1992	updated	Felis catus	filled in		no	no	21036195	unchanged	
88	GQ983443	AL_Africa-3	Africa-3	ZAF	South Africa	-	-	-	2009	592	13-Oct-09	24-Jul-16	-	21036195	267.86	South Africa	unchanged	Potchefstroom	filled in	1986	filled in	1986	filled in	1986	updated	Herpestes	filled in	Mongoose	no	no	21036195	unchanged	Mongoose
89	GQ983459	AL_Africa-3	Africa-3	ZAF	South Africa	-	-	-	2009	592	13-Oct-09	24-Jul-16	-	21036195	292.9	South Africa	unchanged	Kuruman	filled in	1990	filled in	1990	filled in	1990	updated	Felis catus	filled in		no	no	21036195	unchanged	
90	GQ983487	AL_Africa-3	Africa-3	ZAF	South Africa	-	-	-	2009	592	13-Oct-09	24-Jul-16	-	21036195	378.87	South Africa	unchanged	Witputs	filled in	1987	filled in	1987	filled in	1987	updated	Herpestes	filled in	Mongoose	no	no	21036195	unchanged	Mongoose
91	JN162076	AL_Africa-3	Africa-3	ZAF	South Africa	-	2007	2007	2007	592	31-Dec-12	31-Dec-12	-	-	295-07	South Africa	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
94	JN162079	AL_Africa-3	Africa-3	ZAF	South Africa	-	2006	2006	2006	592	31-Dec-12	31-Dec-12	-	-	50-06	South Africa	unchanged	-	unchanged	2006	unchanged	2006	unchanged	2006	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
99	JN162084	AL_Africa-3	Africa-3	ZAF	South Africa	-	2005	2005	2005	592	31-Dec-12	31-Dec-12	-	-	257-05	South Africa	unchanged	-	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
103	JN162088	AL_Africa-3	Africa-3	ZAF	South Africa	-	2006	2006	2006	592	31-Dec-12	31-Dec-12	-	-	418-06	South Africa	unchanged	-	unchanged	2006	unchanged	2006	unchanged	2006	unchanged	Herpestes	filled in	Mongoose	no	no	25685866	filled in	Mongoose
5	AF079907	AL_Africa-3	Africa-3	-	-	-	-	-	1999	591	16-Jun-99	21-Mar-05	-	15763147	m669	South Africa	filled in	Grootgewaagd	filled in	1990	filled in	1990	filled in	1990	updated	Cynictis penicillata	filled in		no	no	15763147	unchanged	
6	AF079908	AL_Africa-3	Africa-3	-	-	-	-	-	1999	591	16-Jun-99	21-Mar-05	-	15763147	s926	South Africa	filled in	Carolina	filled in	1993	filled in	1993	filled in	1993	updated	Suricata suricatta	filled in		no	no	15763147	unchanged	
9	AF079918	AL_Africa-3	Africa-3	-	-	-	-	-	1999	591	16-Jun-99	21-Mar-05	-	15763147	gal878	South Africa	filled in	Harrismith	filled in	1992	filled in	1992	filled in	1992	updated	Atilax paludinosus	filled in		no	no	15763147	unchanged	
15	AF079924	AL_Africa-3	Africa-3	-	-	-	-	-	1999	591	16-Jun-99	21-Mar-05	-	15763147	s970	South Africa	filled in	Ventersdorp	filled in	1993	filled in	1993	filled in	1993	updated	Suricata suricatta	filled in		no	no	15763147	unchanged	
19	AF079928	AL_Africa-3	Africa-3	-	-	-	-	-	1999	591	16-Jun-99	21-Mar-05	-	15763147	fe298	South Africa	filled in	Carnavon	filled in	1990	filled in	1990	filled in	1990	updated	Felis lybica	filled in		no	no	15763147	unchanged	
24	AF079933	AL_Africa-3	Africa-3	-	-	-	-	-	1999	591	16-Jun-99	09-Jun-99	-	-	gs637	South Africa	filled in	Middelburg	filled in	1990	filled in	1990	filled in	1990	updated	Xerus inauris	filled in		no	no	15763147	filled in	
57	AY605026	AL_Africa-3	Africa-3	ZWE	Zimbabwe	-	-	-	2005	591	30-Apr-05	26-Jul-16	-	-	fel28593	Zimbabwe	unchanged	-	unchanged	-	unchanged	1984	filled in	2003	updated	-	unchanged		no	no	-	unchanged	1984-2003, canis or felis
