sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	vaccine	pubmedID_edit	pubmed_update	Notes
AF369321	AL_Indian-Sub	Indian-Sub	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Canis familiaris	12127791	V118.DG	Sri Lanka	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Canis familiaris	unchanged		no	no	12127791	unchanged	
AY102995	AL_Indian-Sub	Indian-Sub	-	-	-	-	-	2002	405	30-Nov-02	24-Jul-16	-	12436491	Rv69	Sri Lanka	filled in	-	unchanged	-	unchanged	-	unchanged	2002	unchanged	Canis lupus familiaris	filled in		no	no	12436491	unchanged	
AY138549	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	1414	02-Jan-03	24-Jul-16	Canis familiaris	12643834	1294	Sri Lanka	unchanged	-	unchanged	1986	filled in	1986	filled in	1986	updated	Canis familiaris	unchanged		no	no	12643834	unchanged	
AY138550	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	1414	02-Jan-03	24-Jul-16	Bos taurus	12643834	5657	Sri Lanka	unchanged	-	unchanged	2001	filled in	2001	filled in	2001	updated	Bos taurus	unchanged		no	no	12643834	unchanged	
AY138551	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	Canis familiaris	12643834	5611	Sri Lanka	unchanged	-	unchanged	2001	filled in	2001	filled in	2001	updated	Canis familiaris	unchanged		no	no	12643834	unchanged	
AY138552	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	Canis familiaris	12643834	5621	Sri Lanka	unchanged	-	unchanged	2001	filled in	2001	filled in	2001	updated	Canis familiaris	unchanged		no	no	12643834	unchanged	
AY138553	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	Canis familiaris	12643834	5623	Sri Lanka	unchanged	-	unchanged	2001	filled in	2001	filled in	2001	updated	Canis familiaris	unchanged		no	no	12643834	unchanged	
AY138554	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	Homo sapiens	12643834	5631	Sri Lanka	unchanged	-	unchanged	-	unchanged	1999	filled in	2001	updated	Homo sapiens	unchanged		no	no	12643834	unchanged	1999-2001
AY138555	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	Canis familiaris	12643834	5633	Sri Lanka	unchanged	-	unchanged	2001	filled in	2001	filled in	2001	updated	Canis familiaris	unchanged		no	no	12643834	unchanged	
AY138556	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	Capra hircus	12643834	5644	Sri Lanka	unchanged	-	unchanged	2001	filled in	2001	filled in	2001	updated	Capra hircus	unchanged		no	no	12643834	unchanged	
AY138557	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	Canis familiaris	12643834	5646	Sri Lanka	unchanged	-	unchanged	2001	filled in	2001	filled in	2001	updated	Canis familiaris	unchanged		no	no	12643834	unchanged	
AY138558	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	Homo sapiens	12643834	5648	Sri Lanka	unchanged	-	unchanged	-	unchanged	1999	filled in	2001	updated	Homo sapiens	unchanged		no	no	12643834	unchanged	1999-2001
AY138559	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	Canis familiaris	12643834	5649	Sri Lanka	unchanged	-	unchanged	2001	filled in	2001	filled in	2001	updated	Canis familiaris	unchanged		no	no	12643834	unchanged	
AY138560	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	Bos taurus	12643834	5651	Sri Lanka	unchanged	-	unchanged	2001	filled in	2001	filled in	2001	updated	Bos taurus	unchanged		no	no	12643834	unchanged	
AY138561	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	Capra hircus	12643834	5652	Sri Lanka	unchanged	-	unchanged	2001	filled in	2001	filled in	2001	updated	Capra hircus	unchanged		no	no	12643834	unchanged	
AY138562	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	mongoose	12643834	5653	Sri Lanka	unchanged	-	unchanged	2001	filled in	2001	filled in	2001	updated	mongoose	unchanged		no	no	12643834	unchanged	
AY138563	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	Felis catus	12643834	5654	Sri Lanka	unchanged	-	unchanged	2001	filled in	2001	filled in	2001	updated	Felis catus	unchanged		no	no	12643834	unchanged	
AY138564	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2003	319	02-Jan-03	24-Jul-16	elephant	12643834	5665	Sri Lanka	unchanged	-	unchanged	-	unchanged	1998	filled in	1999	updated	elephant	unchanged		no	no	12643834	unchanged	1998-1999
AY237121	AL_Indian-Sub	Indian-Sub	IND	India	Chennai	-	-	2003	1592	02-Apr-03	02-Apr-03	Canis familiaris	-	RVD	India	unchanged	Chennai	unchanged	1998	filled in	1998	filled in	1998	updated	Canis familiaris	unchanged		no	no	-	unchanged	
AY259841	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2003	400	18-Jun-03	25-Jul-16	-	-	GchAT3	India	unchanged	Chennai	filled in	1996	filled in	1996	filled in	1996	updated	Capra hircus	filled in		no	no	-	unchanged	
AY259842	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2003	400	18-Jun-03	25-Jul-16	-	-	CchC1	India	unchanged	Chennai	filled in	1996	filled in	1996	filled in	1996	updated	Bos taurus	filled in		no	no	-	unchanged	
AY259843	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2003	400	18-Jun-03	25-Jul-16	-	-	DchN2M	India	unchanged	Chennai	filled in	1996	filled in	1996	filled in	1996	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	
AY259844	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2003	400	18-Jun-03	25-Jul-16	-	-	DchN3M	India	unchanged	Chennai	filled in	1997	filled in	1997	filled in	1997	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	
AY259845	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2003	400	18-Jun-03	25-Jul-16	-	-	DchN4M	India	unchanged	Chennai	filled in	1997	filled in	1997	filled in	1997	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	
AY259846	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2004	400	21-Apr-04	21-Apr-04	-	-	DchOBD	India	unchanged	Chennai	filled in	1997	filled in	1997	filled in	1997	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	
AY259848	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2004	316	21-Apr-04	21-Apr-04	-	-	DchPCDB	India	unchanged	Chennai	filled in	1998	filled in	1998	filled in	1998	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	
AY259849	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2004	356	21-Apr-04	21-Apr-04	-	-	DchPCDB1	India	unchanged	Chennai	filled in	1998	filled in	1998	filled in	1998	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	
AY259851	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2003	400	18-Jun-03	25-Jul-16	-	-	DchT2T	India	unchanged	Chennai	filled in	1999	filled in	1999	filled in	1999	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	
AY259853	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2004	400	21-Apr-04	21-Apr-04	-	-	DchTAT	India	unchanged	Chennai	filled in	1998	filled in	1998	filled in	1998	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	
AY644760	AL_Indian-Sub	Indian-Sub	IND	India	Chennai	-	-	2004	279	07-Jul-04	26-Jul-16	Canis familiaris	-	Dog378	India	unchanged	Chennai	unchanged	2003	filled in	2003	filled in	2003	updated	Canis familiaris	unchanged		no	no	-	unchanged	
AY644761	AL_Indian-Sub	Indian-Sub	IND	India	Chennai	-	-	2004	279	07-Jul-04	26-Jul-16	Canis familiaris	-	Dog397	India	unchanged	Chennai	unchanged	2003	filled in	2003	filled in	2003	updated	Canis familiaris	unchanged		no	no	-	unchanged	
AY644762	AL_Indian-Sub	Indian-Sub	IND	India	Chennai	-	-	2004	279	07-Jul-04	07-Jul-04	Capra hircus	-	Goat393	India	unchanged	Chennai	unchanged	2003	filled in	2003	filled in	2003	updated	Capra hircus	unchanged		no	no	-	unchanged	
AY644780	AL_Indian-Sub	Indian-Sub	IND	India	Chennai	-	-	2004	279	07-Jul-04	26-Jul-16	Canis familiaris	-	OBDog	India	unchanged	Chennai	unchanged	2001	filled in	2001	filled in	2001	updated	Canis familiaris	unchanged		no	no	-	unchanged	
AY644782	AL_Indian-Sub	Indian-Sub	IND	India	Chennai	-	-	2004	259	07-Jul-04	26-Jul-16	Canis familiaris	-	PCDog9	India	unchanged	Chennai	unchanged	2001	filled in	2001	filled in	2001	updated	Canis familiaris	unchanged		no	no	-	unchanged	
AY644783	AL_Indian-Sub	Indian-Sub	IND	India	Chennai	-	-	2004	226	07-Jul-04	26-Jul-16	Canis familiaris	-	TaDog	India	unchanged	Chennai	unchanged	2001	filled in	2001	filled in	2001	updated	Canis familiaris	unchanged		no	no	-	unchanged	
AY854665	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2005	414	03-Oct-05	26-Jul-16	-	16186241	9702IND	India	unchanged	-	unchanged	1997	filled in	1997	filled in	1997	updated	Homo sapiens	filled in		no	no	16186241	unchanged	
DQ784819	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2006	731	05-Aug-06	14-Jul-16	Bos taurus	-	AB11	India	unchanged	Tamil Nadu	filled in	2006	filled in	2006	filled in	2006	updated	Bos taurus	unchanged		no	no	-	unchanged	
DQ784820	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2006	722	05-Aug-06	05-Aug-06	Canis familiaris	-	AB12	India	unchanged	Tamil Nadu	filled in	2006	filled in	2006	filled in	2006	updated	Canis familiaris	unchanged		no	no	-	unchanged	
DQ784821	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2006	724	05-Aug-06	05-Aug-06	Canis familiaris	-	AB13	India	unchanged	Tamil Nadu	filled in	2007	filled in	2007	filled in	2007	updated	Canis familiaris	unchanged		no	no	-	unchanged	
DQ784822	AL_Indian-Sub	Indian-Sub	IND	India	-	-	-	2006	723	05-Aug-06	05-Aug-06	Capra hircus	-	AB14	India	unchanged	Tamil Nadu	filled in	2008	filled in	2008	filled in	2008	updated	Capra hircus	unchanged		no	no	-	unchanged	
JQ685992	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2012	1575	11-Jul-12	11-Jul-12	Bos taurus	22737076	SL-cow	Sri Lanka	unchanged	-	unchanged	-	unchanged	2001	filled in	2009	updated	Bos taurus	unchanged		no	no	22737076	unchanged	2001-2009
KC792051	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Bos taurus	-	A12_0320	Sri Lanka	unchanged	-	unchanged	-	unchanged	-	unchanged	2013	unchanged	Bos taurus	unchanged		no	no	-	unchanged	
KC792203	AL_Indian-Sub	Indian-Sub	IND	India	-	2005	2005	2005	1171	18-Jun-13	18-Jun-13	-	-	I_147	India	unchanged	-	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	-	unchanged		no	no	-	unchanged	
KC792204	AL_Indian-Sub	Indian-Sub	IND	India	-	2005	2005	2005	1175	18-Jun-13	18-Jun-13	-	-	I_148	India	unchanged	-	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	-	unchanged		no	no	-	unchanged	
KC792205	AL_Indian-Sub	Indian-Sub	IND	India	-	2005	2005	2005	1194	18-Jun-13	18-Jun-13	-	-	I_151	India	unchanged	-	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	-	unchanged		no	no	-	unchanged	
KC792206	AL_Indian-Sub	Indian-Sub	IND	India	-	2005	2005	2005	1189	18-Jun-13	18-Jun-13	-	-	I_155	India	unchanged	-	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	-	unchanged		no	no	-	unchanged	
KC792257	AL_Indian-Sub	Indian-Sub	LKA	Sri Lanka	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Bos taurus	-	SL_cow	Sri Lanka	unchanged	-	unchanged	-	unchanged	-	unchanged	2013	unchanged	Bos taurus	unchanged		no	no	-	unchanged	2001-2009
KC887336	AL_Indian-Sub	Indian-Sub	-	-	-	2012	2012	2012	528	19-Jun-13	19-Jun-13	Capra hircus	-	KVAFSU_BNG_RG-23	India	filled in	Tamil Nadu	filled in	2012	unchanged	2012	unchanged	2012	unchanged	Capra hircus	unchanged		no	no	-	unchanged	CHANDRASHEKHARA 2013
KC887338	AL_Indian-Sub	Indian-Sub	-	-	-	2012	2012	2012	586	19-Jun-13	19-Jun-13	Canis familiaris	-	KVAFSU_BNG_RD-10	India	filled in	Kerala	filled in	2012	unchanged	2012	unchanged	2012	unchanged	Canis familiaris	unchanged		no	no	-	unchanged	CHANDRASHEKHARA 2013
KU963500	AL_Indian-Sub	Indian-Sub	-	-	-	-	-	2016	1350	06-Nov-16	06-Nov-16	Canis familiaris	-	SN13-55-CanineSL2001	Sri Lanka	filled in	-	unchanged	2001	filled in	2001	filled in	2001	updated	Canis familiaris	unchanged		no	no	-	unchanged	From ID
KU963505	AL_Indian-Sub	Indian-Sub	-	-	-	-	-	2016	1350	06-Nov-16	06-Nov-16	Canis familiaris	-	SN18-57-CanineIND2004	India	filled in	-	unchanged	2004	filled in	2004	filled in	2004	updated	Canis familiaris	unchanged		no	no	-	unchanged	From ID
KU963507	AL_Indian-Sub	Indian-Sub	-	-	-	-	-	2016	1350	06-Nov-16	06-Nov-16	Canis familiaris	-	SN20-61-CanineIND1997	India	filled in	-	unchanged	1997	filled in	1997	filled in	1997	updated	Canis familiaris	unchanged		no	no	-	unchanged	From ID
U22917	AL_Indian-Sub	Indian-Sub	-	-	-	-	-	1995	400	21-Jul-95	21-Jul-95	-	7778285	94257SRI	Sri Lanka	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Canis lupus familiaris	filled in		no	no	7778285	unchanged	
