recordID	sequenceID	alignment_name	alignment_displayName	m49_country.id	m49_country.display_name	gb_place_sampled	collection_year	earliest_collection_year	latest_collection_year	gb_length	gb_create_date	gb_update_date	host	gb_pubmed_id	isolate	country_edit	country_update	place_edit	place_update	collection_year_edit	collection_year_update	earliest_collection_edit	earliest_collection_update	latest_collection_edit	latest_collection_update	host_edit	host_update	host_common_edit	pubmedID_edit	pubmed_update
22	EU514581	AL_Africa-2	Africa-2	MRT	Mauritania	-	2007	2007	2007	1350	28-Feb-09	26-Jul-16	-	19264663	2049MAU/07	Mauritania	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
23	EU718735	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_44_20A	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
24	EU718736	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_41_198	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
25	EU718737	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_40_197	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
26	EU718738	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_39_196	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
27	EU718739	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_38_195cat	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Felis catus	filled in		18365035	unchanged
28	EU718740	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_36_193	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
29	EU718741	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_35_192	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
30	EU718742	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_34_191	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
31	EU718743	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_31_188	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
32	EU718744	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_28_185	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
33	EU718745	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_27B_184	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
34	EU718746	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_27_184	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
35	EU718747	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_26_183	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
36	EU718748	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_20_177	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
37	EU718749	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_17_174	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
38	EU718750	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_15_172	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
39	EU718751	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_12_169	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
40	EU718752	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_11_168	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
41	EU718753	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_9_166	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
42	EU718754	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_8_165	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
43	EU718755	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_5_162	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
44	EU718756	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_4_161	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
45	EU718757	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_3_160	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
46	EU718758	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_1_158	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
47	EU718759	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_71_164	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
48	EU718760	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_10_167	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
49	EU718761	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_29_186	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
50	EU718762	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_33_190	Chad	unchanged	-	unchanged	-	unchanged	2005	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
51	EU718763	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad_42_199	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
52	EU718764	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_74	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
53	EU718766	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_71	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
54	EU718767	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_70	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
55	EU718768	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_69	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
56	EU718769	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_65	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
57	EU718770	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_62	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
58	EU718771	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_60	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
59	EU718772	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_59	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
60	EU718773	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_58	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
61	EU718774	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_56	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
62	EU718775	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_55	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
63	EU718776	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_54	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
64	EU718777	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_53	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
65	EU718778	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_52	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
66	EU718779	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_51	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
67	EU718780	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_50	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
68	EU718781	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_49	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
69	EU718782	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_46	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
70	EU718783	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_45	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
71	EU718784	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_44	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
72	EU718785	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_43	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
73	EU718786	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_42	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
74	EU718787	AL_Africa-2	Africa-2	TCD	Chad	-	-	-	2008	1350	09-Jun-08	26-Jul-16	-	18365035	Chad2006_68	Chad	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	filled in		18365035	unchanged
75	EU827268	AL_Africa-2	Africa-2	BFA	Burkina Faso	-	2007	2007	2007	1350	12-Mar-09	26-Jul-16	-	19264663	19BF/2007	Burkina Faso	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
76	EU827269	AL_Africa-2	Africa-2	BFA	Burkina Faso	-	2007	2007	2007	1350	12-Mar-09	26-Jul-16	-	19264663	20BF/2007	Burkina Faso	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
77	EU827270	AL_Africa-2	Africa-2	BFA	Burkina Faso	-	2007	2007	2007	1350	12-Mar-09	26-Jul-16	-	19264663	21BF/2007	Burkina Faso	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
78	EU827271	AL_Africa-2	Africa-2	BFA	Burkina Faso	-	2007	2007	2007	1350	12-Mar-09	26-Jul-16	-	19264663	37BF/2007	Burkina Faso	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
79	EU827272	AL_Africa-2	Africa-2	BFA	Burkina Faso	-	2007	2007	2007	1350	12-Mar-09	26-Jul-16	-	19264663	70BF/2007	Burkina Faso	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
80	EU827273	AL_Africa-2	Africa-2	BFA	Burkina Faso	-	2007	2007	2007	1350	12-Mar-09	26-Jul-16	-	19264663	124BF/2007	Burkina Faso	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
81	EU827274	AL_Africa-2	Africa-2	BFA	Burkina Faso	-	2007	2007	2007	1350	12-Mar-09	26-Jul-16	-	19264663	137BF/2007	Burkina Faso	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
82	EU827275	AL_Africa-2	Africa-2	BFA	Burkina Faso	-	2007	2007	2007	1350	12-Mar-09	26-Jul-16	-	19264663	144BF/2007	Burkina Faso	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
88	U22485	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	8697BEN	Benin	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Felis catus	filled in		7778285	unchanged
89	U22486	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	88636HAV	Burkina Faso	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Canis familiaris	filled in		7778285	unchanged
90	U22487	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	8660GUI	Guinea	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Canis familiaris	filled in		7778285	unchanged
91	U22489	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	8689MAU	Mauritania	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Camelus	filled in	Camel	7778285	unchanged
92	U22634	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	8801CAM	Cameroon	filled in	-	unchanged	1987	filled in	1987	filled in	1987	updated	Canis familiaris	filled in		7778285	unchanged
93	U22635	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	8804CAM	Cameroon	filled in	-	unchanged	1988	filled in	1988	filled in	1988	updated	Felis catus	filled in		7778285	unchanged
94	U22636	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	8805CAM	Cameroon	filled in	-	unchanged	1988	filled in	1988	filled in	1988	updated	Unknown	filled in		7778285	unchanged
95	U22639	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	9003CI	Ivory Coast	filled in	-	unchanged	1989	filled in	1989	filled in	1989	updated	Canis familiaris	filled in		7778285	unchanged
96	U22640	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	9012NIG	Niger	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Canis familiaris	filled in		7778285	unchanged
97	U22641	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	9024GUI	Guinea	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Canis familiaris	filled in		7778285	unchanged
98	U22644	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	9218TCH	Chad	filled in	-	unchanged	1992	filled in	1992	filled in	1992	updated	Canis familiaris	filled in		7778285	unchanged
99	U22646	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	9026CI	Ivory Coast	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Canis familiaris	filled in		7778285	unchanged
100	U22652	AL_Africa-2	Africa-2	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	9239CI	Ivory Coast	filled in	-	unchanged	1992	filled in	1992	filled in	1992	updated	Canis familiaris	filled in		7778285	unchanged
10	AY103016	AL_Africa-2	Africa-2	-	-	-	-	-	2002	921	30-Nov-02	24-Jul-16	-	12423699	Rv629	Nigeria	filled in	-	unchanged	1996	filled in	1996	filled in	1996	updated	Homo sapiens	filled in		12423699	unchanged
11	AY103017	AL_Africa-2	Africa-2	-	-	-	-	-	2002	921	30-Nov-02	24-Jul-16	-	12423699	Rv1122	Nigeria	filled in	-	unchanged	2001	filled in	2001	filled in	2001	updated	Homo sapiens	filled in		12423699	unchanged
6	AF369326	AL_Africa-2	Africa-2	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Canis familiaris	12127791	V461.DG	Nigeria	filled in	-	unchanged	1996	filled in	1996	filled in	1996	updated	Canis familiaris	unchanged		12127791	unchanged
7	AF369328	AL_Africa-2	Africa-2	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Canis familiaris	12127791	V464.DG	Nigeria	filled in	-	unchanged	1997	filled in	1997	filled in	1997	updated	Canis familiaris	unchanged		12127791	unchanged
9	AY103008	AL_Africa-2	Africa-2	-	-	-	-	-	2002	400	30-Nov-02	24-Jul-16	-	12423699	Rv629	Nigeria	filled in	-	unchanged	1996	filled in	1996	filled in	1996	updated	Homo sapiens	filled in		12423699	unchanged
101	U22863	AL_Africa-2	Africa-2	-	-	-	-	-	1995	400	21-Jul-95	21-Jul-95	-	7778285	8718NIG	Niger	filled in	-	unchanged	1975	filled in	1975	filled in	1975	updated	Canis familiaris	filled in		7778285	unchanged
102	U22913	AL_Africa-2	Africa-2	-	-	-	-	-	1995	400	21-Jul-95	21-Jul-95	-	7778285	9239CI	Ivory Coast	filled in	-	unchanged	1992	filled in	1992	filled in	1992	updated	Canis familiaris	filled in		7778285	unchanged
103	U22914	AL_Africa-2	Africa-2	-	-	-	-	-	1995	400	21-Jul-95	21-Jul-95	-	7778285	9302SOM	Somalia	filled in	-	unchanged	1993	filled in	1993	filled in	1993	updated	Canis familiaris	filled in		7778285	unchanged
104	U22915	AL_Africa-2	Africa-2	-	-	-	-	-	1995	400	21-Jul-95	21-Jul-95	-	7778285	9303SEN	Senegal	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Canis familiaris	filled in		7778285	unchanged
8	AY103007	AL_Africa-2	Africa-2	-	-	-	-	-	2002	360	30-Nov-02	24-Jul-16	-	12423699	Rv1122	Nigeria	filled in	-	unchanged	2001	filled in	2001	filled in	2001	updated	Homo sapiens	filled in		12423699	unchanged
