Number	sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	vaccine	pubmedID_edit	pubmed_update	Notes
556	EU918626	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Felis catus	19185599	10566PBCT/2003	Brazil	unchanged	Paraiba	filled in	2003	filled in	2003	filled in	2003	updated	Felis catus	unchanged		no	no	19185599	unchanged	
557	EU918627	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Felis catus	19185599	10568PBCT/2003	Brazil	unchanged	Paraiba	filled in	2003	filled in	2003	filled in	2003	updated	Felis catus	unchanged		no	no	19185599	unchanged	
558	EU918628	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	6049SEDG/2005	Brazil	unchanged	Sergipe	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
559	EU918629	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Canis familiaris	19185599	6050SEDG/2005	Brazil	unchanged	Sergipe	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19185599	unchanged	
560	EU918631	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Pseudalopex vetulus	19185599	4371PIPve/2005	Brazil	unchanged	Piaui	filled in	2005	filled in	2005	filled in	2005	updated	Pseudalopex vetulus	unchanged		no	no	19185599	unchanged	
561	EU918633	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Cerdocyon thous	19185599	6129PICth/2004	Brazil	unchanged	Piaui	filled in	2004	filled in	2004	filled in	2004	updated	Cerdocyon thous	unchanged		no	no	19185599	unchanged	
562	EU918635	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Cerdocyon thous	19185599	6971PICth/2005	Brazil	unchanged	Piaui	filled in	2005	filled in	2005	filled in	2005	updated	Cerdocyon thous	unchanged		no	no	19185599	unchanged	
563	EU918636	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Cerdocyon thous	19185599	6973PECth/2005	Brazil	unchanged	Pernambuco	filled in	2005	filled in	2005	filled in	2005	updated	Cerdocyon thous	unchanged		no	no	19185599	unchanged	
564	EU918637	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Cerdocyon thous	19185599	6975PECth/2005	Brazil	unchanged	Pernambuco	filled in	2005	filled in	2005	filled in	2005	updated	Cerdocyon thous	unchanged		no	no	19185599	unchanged	
565	EU918638	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Cerdocyon thous	19185599	1406PECth/2002	Brazil	unchanged	Pernambuco	filled in	2002	filled in	2002	filled in	2002	updated	Cerdocyon thous	unchanged		no	no	19185599	unchanged	
566	EU918639	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Cerdocyon thous	19185599	1407PECth/2002	Brazil	unchanged	Pernambuco	filled in	2002	filled in	2002	filled in	2002	updated	Cerdocyon thous	unchanged		no	no	19185599	unchanged	
567	EU918640	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Cerdocyon thous	19185599	6967PECth/2005	Brazil	unchanged	Pernambuco	filled in	2005	filled in	2005	filled in	2005	updated	Cerdocyon thous	unchanged		no	no	19185599	unchanged	
568	EU918643	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Cerdocyon thous	19185599	7579BACth/2005	Brazil	unchanged	Bahia	filled in	2005	filled in	2005	filled in	2005	updated	Cerdocyon thous	unchanged		no	no	19185599	unchanged	
569	EU918645	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Cerdocyon thous	19185599	9339BACth/2004	Brazil	unchanged	Bahia	filled in	2004	filled in	2004	filled in	2004	updated	Cerdocyon thous	unchanged		no	no	19185599	unchanged	
570	EU918647	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Cerdocyon thous	19185599	6979PECth/2005	Brazil	unchanged	Pernambuco	filled in	2005	filled in	2005	filled in	2005	updated	Cerdocyon thous	unchanged		no	no	19185599	unchanged	
571	EU918648	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1889	11-Aug-08	26-Jul-16	Cerdocyon thous	19185599	6977PECth/2005	Brazil	unchanged	Pernambuco	filled in	2005	filled in	2005	filled in	2005	updated	Cerdocyon thous	unchanged		no	no	19185599	unchanged	
203	AF344305	AL_Cosmopolitan_AM1	Cosmopolitan AM1	-	-	-	-	-	2001	1595	20-Feb-01	20-Feb-01	Western Canada skunk	9191862	92RBG1741	Canada	filled in	-	unchanged	2001	filled in	2001	filled in	2001	unchanged	Western Canada skunk	unchanged		no	no	9191862	unchanged	Found by googling
205	AF344307	AL_Cosmopolitan_AM1	Cosmopolitan AM1	-	-	-	-	-	2001	1595	20-Feb-01	20-Feb-01	Western Canada skunk	9191862	92RBGL0867	Canada	filled in	-	unchanged	1992	filled in	1992	filled in	1992	updated	Western Canada skunk	unchanged		no	no	9191862	unchanged	Found by googling
30	AB247410	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	16773238	BRdg15	Brazil	unchanged	Anápolis	filled in	1999	filled in	1999	filled in	1999	updated	Canis lupus familiaris	filled in		no	no	16773238	unchanged	
31	AB247411	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	16773238	BRdg2	Brazil	unchanged	Goiânia	filled in	1999	filled in	1999	filled in	1999	updated	Canis lupus familiaris	filled in		no	no	16773238	unchanged	
32	AB247412	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	16773238	BRdg317	Brazil	unchanged	Rio De Janeiro	filled in	1985	filled in	1985	filled in	1985	updated	Canis lupus familiaris	filled in		no	no	16773238	unchanged	
34	AB247414	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	16773238	BRdg322	Brazil	unchanged	Miranda do Norte	filled in	2003	filled in	2003	filled in	2003	updated	Canis lupus familiaris	filled in		no	no	16773238	unchanged	
35	AB247415	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	16773238	BRdg325	Brazil	unchanged	Santa Inês	filled in	2003	filled in	2003	filled in	2003	updated	Canis lupus familiaris	filled in		no	no	16773238	unchanged	
36	AB247416	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	16773238	BRdg331	Brazil	unchanged	Coroatá 	filled in	2003	filled in	2003	filled in	2003	updated	Canis lupus familiaris	filled in		no	no	16773238	unchanged	
38	AB247418	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	16773238	BRdg335	Brazil	unchanged	Barra do Corda	filled in	2003	filled in	2003	filled in	2003	updated	Canis lupus familiaris	filled in		no	no	16773238	unchanged	
39	AB247419	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	16773238	BRdg666	Brazil	unchanged	São João Batista	filled in	2005	filled in	2005	filled in	2005	updated	Canis lupus familiaris	filled in		no	no	16773238	unchanged	
40	AB247420	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	16773238	BRdg669	Brazil	unchanged	Moncão	filled in	2005	filled in	2005	filled in	2005	updated	Canis lupus familiaris	filled in		no	no	16773238	unchanged	
41	AB247430	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	-	BRfx239	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Vulpes	filled in	Fox	no	no	-	unchanged	
42	AB247431	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	-	BRfx240	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Vulpes	filled in	Fox	no	no	-	unchanged	
43	AB247432	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	-	BRfx241	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Vulpes	filled in	Fox	no	no	-	unchanged	
44	AB247433	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	-	BRfx242	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Vulpes	filled in	Fox	no	no	-	unchanged	
45	AB247434	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	-	BRfx245	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Vulpes	filled in	Fox	no	no	-	unchanged	
46	AB247435	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	-	BRfx246	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Vulpes	filled in	Fox	no	no	-	unchanged	
47	AB247436	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	-	BRfx247	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Vulpes	filled in	Fox	no	no	-	unchanged	
48	AB247437	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	-	BRfx248	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Vulpes	filled in	Fox	no	no	-	unchanged	
52	AB247445	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	-	BRdg657	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
53	AB247446	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	-	BRdg659	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
54	AB247447	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	02-Jun-06	30-Jan-09	-	-	BRdg661	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
110	AB276307	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-06	06-Oct-06	-	-	BRhm16	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Homo sapiens	filled in		no	no	-	unchanged	
111	AB276308	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-06	06-Oct-06	-	-	BRdg101	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
112	AB276309	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-06	06-Oct-06	-	-	BRct112	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Felis catus	filled in		no	no	-	unchanged	
113	AB276310	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-06	06-Oct-06	-	-	BRct116	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Felis catus	filled in		no	no	-	unchanged	
114	AB276311	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-06	06-Oct-06	-	-	BRhm528	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Homo sapiens	filled in		no	no	-	unchanged	
115	AB276312	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-06	06-Oct-06	-	-	BRhm529	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Homo sapiens	filled in		no	no	-	unchanged	
116	AB276313	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-06	06-Oct-06	-	-	BRhm530	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Homo sapiens	filled in		no	no	-	unchanged	
117	AB276314	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-06	06-Oct-06	-	-	BRhm531	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Homo sapiens	filled in		no	no	-	unchanged	
149	AB449211	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1575	11-Dec-08	26-Jul-16	Canis lupus familiaris	20018256	BRdg77	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2008	unchanged	Canis lupus familiaris	unchanged		no	no	20018256	unchanged	
150	AB449212	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1575	11-Dec-08	26-Jul-16	Canis lupus familiaris	20018256	BRdg96	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2008	unchanged	Canis lupus familiaris	unchanged		no	no	20018256	unchanged	
151	AB449213	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2008	1575	11-Dec-08	26-Jul-16	Canis lupus familiaris	20018256	BRdg128	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2008	unchanged	Canis lupus familiaris	unchanged		no	no	20018256	unchanged	
152	AB449214	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2008	1575	11-Dec-08	26-Jul-16	Canis lupus familiaris	20018256	BRdg322	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2008	unchanged	Canis lupus familiaris	unchanged		no	no	20018256	unchanged	
156	AB518487	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2010	1575	27-Feb-10	08-Jan-11	Felis catus	20926638	BRct9	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2010	unchanged	Felis catus	unchanged		no	no	20926638	unchanged	
157	AB518488	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2010	1575	27-Feb-10	08-Jan-11	Felis catus	20926638	BRct22	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2010	unchanged	Felis catus	unchanged		no	no	20926638	unchanged	
158	AB518489	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2010	1575	27-Feb-10	08-Jan-11	Canis lupus familiaris	20926638	BRdg13	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2010	unchanged	Canis lupus familiaris	unchanged		no	no	20926638	unchanged	
159	AB518490	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2010	1575	27-Feb-10	08-Jan-11	Canis lupus familiaris	20926638	BRdg117	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2010	unchanged	Canis lupus familiaris	unchanged		no	no	20926638	unchanged	
160	AB518491	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2010	1575	27-Feb-10	08-Jan-11	Canis lupus familiaris	20926638	BRdg125	Brazil	unchanged	-	unchanged	-	unchanged	-	unchanged	2010	unchanged	Canis lupus familiaris	unchanged		no	no	20926638	unchanged	
