sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	vaccine	pubmedID_edit	pubmed_update	Notes
JQ685988	AL_Arctic_A	Arctic A	USA	United States	-	-	-	2012	1575	11-Jul-12	11-Jul-12	Vulpes vulpes	22737076	A10-1431	United States	unchanged	New Hampshire	filled in	-	unchanged	-	unchanged	2012	unchanged	Vulpes vulpes	unchanged		no	no	22737076	unchanged	
JQ685990	AL_Arctic_A	Arctic A	USA	United States	-	-	-	2012	1575	11-Jul-12	11-Jul-12	Vulpes vulpes	22737076	Fox-9064	United States	unchanged	New Hampshire	filled in	-	unchanged	-	unchanged	2012	unchanged	Vulpes vulpes	unchanged		no	no	22737076	unchanged	
JX987733	AL_Arctic_A	Arctic A	RUS	Russia	Yakutia region	-	-	2013	1575	31-Oct-13	04-Dec-13	Vulpes vulpes	24278494	9143RUS	Russia	unchanged	Yakutia region	unchanged	-	unchanged	1988	filled in	1990	updated	Vulpes vulpes	unchanged		no	no	24278494	unchanged	1988-90
KU534941	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2016	1575	15-Aug-16	15-Aug-16	squirrel	-	RV250	Russia	unchanged	-	unchanged	-	unchanged	-	unchanged	2016	unchanged	squirrel	unchanged		no	no	-	unchanged	
KU534942	AL_Arctic	Arctic	PAK	Pakistan	-	-	-	2016	1575	15-Aug-16	15-Aug-16	Capra hircus	-	RV277	Pakistan	unchanged	-	unchanged	-	unchanged	-	unchanged	2016	unchanged	Capra hircus	unchanged		no	no	-	unchanged	
U03764	AL_Arctic_A	Arctic A	-	-	-	-	-	1993	1575	03-Dec-93	10-May-95	Vulpes vulpes	7931145	Ontario G Type 2-6 - 9293FX	Canada	filled in	Ontario	filled in	-	unchanged	-	unchanged	1993	unchanged	Vulpes vulpes	unchanged		no	no	7931145	unchanged	From isolate name
U11736	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	91RABN1035	Canada	filled in	-	unchanged	-	unchanged	-	unchanged	1994	unchanged	Vulpes lagopus	updated		no	no	10579454	unchanged	Arctic fox on genbank
U11737	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	93RABN0113	Canada	filled in	-	unchanged	1993	filled in	1993	filled in	1993	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	
U11739	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	93RABN0173	Canada	filled in	-	unchanged	1993	filled in	1993	filled in	1993	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Fox? Maybe skunk? Found in paper by googling
U11741	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	91RABN2756	Canada	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Fox? Maybe skunk? Found in paper by googling
U11742	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	91RABN2901	Canada	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Fox? Maybe skunk? Found in paper by googling
U11743	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	91RABN3899	Canada	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Fox? Maybe skunk? Found in paper by googling
U11744	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	91RABN5532	Canada	filled in	-	unchanged	-	unchanged	-	unchanged	1994	unchanged	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Found in paper by googling
U11745	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	91RABN5537	Canada	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Found in paper by googling
U11746	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	91RABN5643	Canada	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Found in paper by googling
U11747	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	91RABN6921	Canada	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Found in paper by googling
U11748	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	91RABN0730	Canada	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Fox? Maybe skunk? Found in paper by googling
U11750	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	90RABN9239	Canada	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Found in paper by googling
U11751	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	90RABN9339	Canada	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Found in paper by googling
U11752	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1575	17-Jul-94	08-Feb-01	Vulpes vulpes	10579454	90RABN9341	Canada	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Vulpes vulpes	unchanged		no	no	10579454	unchanged	Fox? Maybe skunk? Found in paper by googling
KC791867	AL_Arctic_A	Arctic A	USA	United States	-	-	-	2013	1572	18-Jun-13	18-Jun-13	-	-	A11_0625	United States	unchanged	-	unchanged	-	unchanged	-	unchanged	2013	unchanged	-	unchanged		no	no	-	unchanged	
KC791868	AL_Arctic_A	Arctic A	USA	United States	-	-	-	2013	1572	18-Jun-13	18-Jun-13	-	-	A11_0626	United States	unchanged	-	unchanged	-	unchanged	-	unchanged	2013	unchanged	-	unchanged		no	no	-	unchanged	
KC791869	AL_Arctic_A	Arctic A	USA	United States	-	-	-	2013	1572	18-Jun-13	18-Jun-13	-	-	A11_0627	United States	unchanged	-	unchanged	-	unchanged	-	unchanged	2013	unchanged	-	unchanged		no	no	-	unchanged	
KC791870	AL_Arctic_A	Arctic A	USA	United States	-	-	-	2013	1572	18-Jun-13	18-Jun-13	-	-	A11_0628	United States	unchanged	-	unchanged	-	unchanged	-	unchanged	2013	unchanged	-	unchanged		no	no	-	unchanged	
KC792244	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG10	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
KC792245	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG12	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
KC792246	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG15	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
KC792247	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG16	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
KC792248	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG19	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
KC792249	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG1	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
KC792250	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG20	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
KC792251	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG21	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
KC792252	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG22	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
KC792253	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG23	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
KC792254	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG3	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
KC792255	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG91	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
KC792256	AL_Arctic_A	Arctic A	RUS	Russia	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Vulpes vulpes	-	SG92	Russia	unchanged	-	unchanged	-	unchanged	1950	filled in	1960	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	1950-60
EU284093	AL_Arctic_AL2	Arctic AL2	CHN	China	-	-	-	2007	1567	19-Dec-07	12-Jan-12	Canis familiaris	20546631	NeiMeng927A	China	unchanged	Zhengxiangbaiqi	filled in	2007	filled in	2007	filled in	2007	unchanged	Nyctereutes procyonoides	updated		no	no	20546631	unchanged	Inner mongolia? Raccoon Dog - not Dog as pulled down from genbank (listed there correctly)
EU284094	AL_Arctic_AL2	Arctic AL2	CHN	China	-	-	-	2007	1567	19-Dec-07	12-Jan-12	Canis familiaris	20546631	NeiMeng1025C	China	unchanged	Zhengxiangbaiqi	filled in	2007	filled in	2007	filled in	2007	unchanged	Nyctereutes procyonoides	updated		no	no	20546631	unchanged	Inner mongolia? Raccoon Dog - not Dog as pulled down from genbank (listed there correctly)
EU652444	AL_Arctic_AL2	Arctic AL2	CHN	China	-	-	-	2008	1567	04-May-08	12-Jan-12	Canis familiaris	20546631	NeiMeng927B	China	unchanged	Zhengxiangbaiqi	filled in	2007	filled in	2007	filled in	2007	updated	Nyctereutes procyonoides	updated		no	no	20546631	unchanged	Inner mongolia? Raccoon Dog - not Dog as pulled down from genbank (listed there correctly)
EU652445	AL_Arctic_AL2	Arctic AL2	CHN	China	-	-	-	2008	1567	04-May-08	12-Jan-12	Canis familiaris	20546631	NeiMeng1025B	China	unchanged	Zhengxiangbaiqi	filled in	2007	filled in	2007	filled in	2007	updated	Nyctereutes procyonoides	updated		no	no	20546631	unchanged	Inner mongolia? Raccoon Dog - not Dog as pulled down from genbank (listed there correctly)
AH014570	AL_Arctic_A	Arctic A	USA	United States	-	-	-	2005	1468	05-Aug-05	25-Aug-16	skunk	-	SM 2697	United States	unchanged	New Hampshire	filled in	1994	filled in	1994	filled in	1994	updated	skunk	unchanged		no	no	-	unchanged	Collected in New hampshire 1994 - fox variant
DQ521212	AL_Arctic	Arctic	IRN	Iran	-	-	-	2006	1455	27-May-06	01-Dec-08	Ovis aries	-	V704IRN	Iran	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Ovis aries	unchanged		no	no	-	unchanged	
U11734	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1455	17-Jul-94	30-Mar-95	Vulpes vulpes	-	1991 fox 6199	Canada	filled in	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	Found by googling
U11735	AL_Arctic_A	Arctic A	-	-	-	-	-	1994	1455	17-Jul-94	30-Mar-95	Vulpes vulpes	-	1993 fox 2244	Canada	filled in	-	unchanged	1993	filled in	1993	filled in	1993	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	Found by googling
AY352458	AL_Arctic_AL2	Arctic AL2	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	857r	Russia	filled in	Chabarovsk	filled in	-	unchanged	-	unchanged	2004	unchanged	Nyctereutes procyonoides	filled in		no	no	15650080	unchanged	
AY352459	AL_Arctic_AL2	Arctic AL2	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	304c	Russia	filled in	Southern Siberia	filled in	1977	filled in	1977	filled in	1977	updated	Vulpes corsac	filled in		no	no	15650080	unchanged	Found by googling in 17599781
AY352460	AL_Arctic_AL2	Arctic AL2	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	248c	Russia	filled in	Southern Siberia	filled in	1977	filled in	1977	filled in	1977	updated	Vulpes corsac	filled in		no	no	15650080	unchanged	Found by googling in 17599782
AY352462	AL_Arctic_A	Arctic A	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	RVHK	Russia	filled in	North-central Siberia	filled in	1998	filled in	1998	filled in	1998	updated	Homo sapiens	filled in		no	no	15650080	unchanged	Host as human (ex wolf)??, found by googling in 17599782
AY352480	AL_Arctic_A	Arctic A	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	Citellus undulatus	15650080	RV250	Russia	filled in	Tuva	filled in	-	unchanged	-	unchanged	2004	unchanged	Citellus undulatus	unchanged		no	no	15650080	unchanged	
AY352486	AL_Arctic_A	Arctic A	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	3510w	Russia	filled in	Yakutia	filled in	1995	filled in	1995	filled in	1995	updated	Canis lupus	filled in		no	no	15650080	unchanged	Found by googling in 17599781
AY352487	AL_Arctic_A	Arctic A	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	483a	Russia	filled in	Yakutia	filled in	1986	filled in	1986	filled in	1986	updated	Vulpes lagopus	filled in		no	no	15650080	unchanged	
AY352488	AL_Arctic_A	Arctic A	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	743a	Russia	filled in	Yakutia	filled in	1988	filled in	1988	filled in	1988	updated	Vulpes lagopus	filled in		no	no	15650080	unchanged	
AY352493	AL_Arctic_AL1a	Arctic AL1a	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	RV61	United Kingdom	filled in	-	unchanged	1988	filled in	1988	filled in	1988	updated	Homo sapiens	filled in		no	no	15650080	unchanged	Ex India, ex dog
AY352494	AL_Arctic_AL2	Arctic AL2	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	Komatsugawa	Japan	filled in	-	unchanged	-	unchanged	-	unchanged	2004	unchanged	Canis lupus familiaris	filled in		no	no	15650080	unchanged	1940s
AY352495	AL_Arctic_AL1b	Arctic AL1b	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	196p	Pakistan	filled in	-	unchanged	-	unchanged	-	unchanged	2004	unchanged	Bos taurus	filled in		no	no	15650080	unchanged	Date unknown
AY352496	AL_Arctic	Arctic	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	277p	Pakistan	filled in	-	unchanged	-	unchanged	-	unchanged	2004	unchanged	Capra	filled in	Goat	no	no	15650080	unchanged	
AY352498	AL_Arctic_A	Arctic A	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	4795	United States	filled in	Alaska	filled in	1988	filled in	1988	filled in	1988	updated	Canis lupus familiaris	filled in		no	no	15650080	unchanged	
AY352499	AL_Arctic_A	Arctic A	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	1420	United States	filled in	Alaska	filled in	-	unchanged	-	unchanged	2004	unchanged	Vulpes vulpes	filled in		no	no	15650080	unchanged	
AY352500	AL_Arctic_A	Arctic A	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	1421	United States	filled in	Alaska	filled in	1988	filled in	1988	filled in	1988	updated	Vulpes vulpes	filled in		no	no	15650080	unchanged	
AY352501	AL_Arctic_A	Arctic A	-	-	-	-	-	2004	1414	01-Aug-04	26-Jul-16	-	15650080	1422	United States	filled in	Alaska	filled in	-	unchanged	-	unchanged	2004	unchanged	Vulpes lagopus	filled in		no	no	15650080	unchanged	Found by googling
DQ840098	AL_Arctic_AL1a	Arctic AL1a	IND	India	-	-	-	2006	1410	23-Aug-06	23-Aug-06	-	-	-	India	unchanged	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	Canis familiaris	filled in		no	no	-	unchanged	
AY704924	AL_Arctic_A	Arctic A	USA	United States	-	-	-	2005	1389	05-Aug-05	26-Jul-16	skunk	-	SM 1555	United States	unchanged	Vermont	filled in	1992	filled in	1992	filled in	1992	updated	skunk	unchanged		no	no	-	unchanged	
