sequenceID	updated_host	iso_source	minor_clade	major_clade	collection_month	collection_month_day	collection_year	vaccine_strain	isolate
AB516719	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1041
AB516720	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1046
AB516721	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1047
AB516722	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1048
AB516723	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1049
AB516724	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1050
AB516728	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1054
AB516995	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1056
AB516996	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1057
AB516998	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1060
AB516730	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1061
AB516731	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1062
AB516732	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1063
AB516733	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1064
AB516735	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1087
AB516736	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1088
AB516737	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1089
AB516738	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1090
AB516739	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1094
AB516740	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1097
AB516741	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1099
AB516742	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1101
AB516743	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1109
AB516744	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv1119
AB516745	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv972
AB516746	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv976
AB516747	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv977
AB516748	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv978
AB516749	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv979
AB516750	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv980
AB516751	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv982
AB516752	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv987
AB516753	Bos taurus	bovine	DR	Bats	-	-	-	-	BRbv988
DQ652193	Bos taurus	bovine	DR	Bats	-	-	1999	-	LVC04
EU589977	Bos taurus	brain	ME1a	Cosmopolitan	-	-	-	-	Cow0081/1999
EU590002	Bos taurus	brain	ME2	Cosmopolitan	-	-	-	-	Cow0095/2005
EU590009	Bos taurus	brain	ME2	Cosmopolitan	-	-	-	-	Cow0313/2005
EU590007	Bos taurus	brain	ME2	Cosmopolitan	-	-	-	-	Cow1211/2004
EU590003	Bos taurus	brain	ME2	Cosmopolitan	-	-	-	-	Cow3339/2005
EU590004	Bos taurus	brain	ME2	Cosmopolitan	-	-	-	-	Cow3400/2005
EU590006	Bos taurus	brain	ME2	Cosmopolitan	-	-	-	-	Cow4097/2005
EU589995	Bos taurus	brain	ME2	Cosmopolitan	-	-	-	-	Cow4414/2005
EU589990	Bos taurus	brain	ME2	Cosmopolitan	-	-	-	-	Cow5152/2005
EU590037	Bos taurus	brain	ME2	Cosmopolitan	-	-	-	-	Cow5355/2006
EU589966	Bos taurus	brain	ME1a	Cosmopolitan	-	-	-	-	Cow7597/1999
EU589980	Bos taurus	brain	ME1a	Cosmopolitan	-	-	-	-	Cow7615/2000
EU589991	Bos taurus	brain	ME2	Cosmopolitan	-	-	-	-	Cow7626/2005
EU589988	Bos taurus	brain	ME1a	Cosmopolitan	-	-	-	-	Cow8437/2005
AB294353	Bos taurus	brain of Bos taurus	SEA2a	Asian	-	-	-	-	CHbv7
AB294355	Bos taurus	brain of Bos taurus	SEA2a	Asian	-	-	-	-	CHbv9
DQ105950	Bos taurus	calf brain	AL1a	Arctic	-	-	-	-	R110
DQ105951	Bos taurus	calf brain	AL1a	Arctic	-	-	-	-	R114
AY259842	Bos taurus	calf; Chennai 1996	-	Indian-Sub	-	-	-	-	CchC1
AY259852	Bos taurus	calf; Chennai 1998	-	-	-	-	-	-	CchTAT
AB246216	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv103
AB246217	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv106
AB623080	Bos taurus	Cattle	DR	Bats	-	-	2004	-	BRbv1169
AB623081	Bos taurus	Cattle	DR	Bats	-	-	2004	-	BRbv1170
AB623082	Bos taurus	Cattle	DR	Bats	-	-	2004	-	BRbv1172
AB623083	Bos taurus	Cattle	DR	Bats	-	-	2004	-	BRbv1173
AB623084	Bos taurus	Cattle	DR	Bats	-	-	2004	-	BRbv1174
AB623085	Bos taurus	Cattle	DR	Bats	-	-	2005	-	BRbv1176
AB623086	Bos taurus	Cattle	DR	Bats	-	-	2005	-	BRbv1177
AB623087	Bos taurus	Cattle	DR	Bats	-	-	2006	-	BRbv1179
AB246218	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv118
AB623088	Bos taurus	Cattle	DR	Bats	-	-	2006	-	BRbv1180
AB623089	Bos taurus	Cattle	DR	Bats	-	-	2006	-	BRbv1181
AB623090	Bos taurus	Cattle	DR	Bats	-	-	2006	-	BRbv1182
AB623091	Bos taurus	Cattle	DR	Bats	-	-	2006	-	BRbv1183
AB623092	Bos taurus	Cattle	DR	Bats	-	-	2006	-	BRbv1184
AB623093	Bos taurus	Cattle	DR	Bats	-	-	2007	-	BRbv1186
AB623094	Bos taurus	Cattle	DR	Bats	-	-	2007	-	BRbv1187
AB623095	Bos taurus	Cattle	DR	Bats	-	-	2007	-	BRbv1189
AB246219	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv119
AB623096	Bos taurus	Cattle	DR	Bats	-	-	2007	-	BRbv1190
AB623097	Bos taurus	Cattle	DR	Bats	-	-	2007	-	BRbv1193
AB623098	Bos taurus	Cattle	DR	Bats	-	-	2007	-	BRbv1194
AB623099	Bos taurus	Cattle	DR	Bats	-	-	2007	-	BRbv1197
AB623106	Bos taurus	Cattle	DR	Bats	-	-	2007	-	BRbv1198
AB623100	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1199
AB623101	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1200
AB623102	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1201
AB623103	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1204
AB623104	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1206
AB623105	Bos taurus	Cattle	DR	Bats	-	-	2009	-	BRbv1207
AB623107	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1209
AB623108	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1210
AB623109	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1211
AB623110	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1212
AB623111	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1213
AB623112	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1214
AB623113	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1215
AB623114	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1216
AB623115	Bos taurus	Cattle	DR	Bats	-	-	2008	-	BRbv1217
AB623116	Bos taurus	Cattle	DR	Bats	-	-	2009	-	BRbv1218
AB623117	Bos taurus	Cattle	DR	Bats	-	-	2009	-	BRbv1219
AB623118	Bos taurus	Cattle	DR	Bats	-	-	2009	-	BRbv1220
AB246220	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv124
AB246221	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv129
AB247380	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv129
AB246222	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv132
AB247381	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv132
AB246223	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv133
AB247382	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv136
AB246224	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv138
AB246225	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv140
AB246226	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv141
AB246227	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv145
AB246228	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv147
AB247383	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv147
AB246229	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv150
AB246230	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv152
AB247384	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv152
AB246231	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv153
AB246232	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv157
AB246233	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv160
AB246234	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv161
AB246235	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv162
AB246236	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv168
AB247385	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv168
AB246237	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv169
AB246238	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv170
AB246239	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv178
AB246240	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv181
AB246241	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv182
AB246242	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv183
AB246243	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv185
AB246244	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv186
AB246245	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv187
AB246246	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv192
AB246247	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv193
AB246248	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv194
AB246249	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv195
AB246250	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv197
AB246251	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv200
AB246252	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv202
AB246253	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv206
AB246254	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv207
AB246255	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv208
AB246256	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv210
AB246257	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv214
AB246258	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv216
AB246259	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv217
AB246260	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv221
AB246261	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv225
AB246262	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv229
AB246263	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv230
AB246264	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv232
AB246265	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv234
AB246266	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv235
AB246267	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv238
AB247386	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv252
AB247387	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv259
AB247388	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv261
AB247389	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv270
AB246268	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv282
AB246269	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv287
AB246270	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv296
AB110663	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv32
AB247390	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv323
AB247391	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv324
AB247392	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv329
AB247393	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv38
AB110666	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv39
AB247394	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv43
AB110667	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv45
AB110668	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv49
AB110669	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv50
AB246194	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv55
AB247395	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv55
AB246195	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv56
AB246196	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv57
AB247396	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv571
AB246197	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv62
AB246198	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv63
AB246199	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv64
AB247444	Bos taurus	Cattle	AM3b	Cosmopolitan	-	-	-	-	BRbv641
AB247397	Bos taurus	cattle	AM3b	Cosmopolitan	-	-	-	-	BRbv644
AB247398	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv645
AB247399	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv647
AB246200	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv65
AB247400	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv654
AB247401	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv655
AB247402	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv656
AB247403	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv658
AB246201	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv66
AB247404	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv670
AB247405	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv674
AB246202	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv68
AB246203	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv69
AB246204	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv71
AB246205	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv74
AB246206	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv75
AB246207	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv76
AB247406	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv76
AB247407	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv76
AB246208	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv80
AB246209	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv82
AB246210	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv86
AB246211	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv87
AB246212	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv89
AB246213	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv93
AB246214	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv94
AB246215	Bos taurus	cattle	DR	Bats	-	-	-	-	BRbv95
AB373641	Bos taurus	cattle	DR	Bats	-	-	2007	-	m28/07
AB154212	Bos taurus	Cattle	SEA1b	Asian	-	-	-	-	SC01-73
AB428322	Bos taurus	cattle brain	SEA2a	Asian	DEC	7	2004	-	CHbv7
AB428333	Bos taurus	cattle brain	SEA2a	Asian	DEC	7	2004	-	CHbv7
AB428315	Bos taurus	cattle brain	SEA2a	Asian	MAR	15	2005	-	CHbv9
AB428323	Bos taurus	cattle brain	SEA2a	Asian	MAR	15	2005	-	CHbv9
AB428334	Bos taurus	cattle brain	SEA2a	Asian	MAR	15	2005	-	CHbv9
AY102998	Bos taurus	China/Cow	SEA1b	Asian	-	-	-	-	Rv338
AY561809	Bos taurus	cow	-	Cosmopolitan	-	-	-	-	3259bcsbv02
AY561765	Bos taurus	cow	AM2a	Cosmopolitan	-	-	-	-	3269zacbov00
AF533816	Bos taurus	cow	TB2	Bats	-	-	-	-	CIBV3553
AB284516	Bos taurus	cow	AF1b	Cosmopolitan	JUN	22	2001	-	ZAMDC163/01
AB284515	Bos taurus	cow	AF1b	Cosmopolitan	FEB	17	2000	-	ZAMRAV12/00
JX648409	Bos taurus	cow brain	DR	Bats	-	-	2005	-	PERAMABV2039-05
JX648406	Bos taurus	cow brain	DR	Bats	-	-	2005	-	PERAMABV2040-05
JX648400	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAMABV36425-02
JX648403	Bos taurus	cow brain	DR	Bats	-	-	2005	-	PERAMABV37027-05
JX648420	Bos taurus	cow brain	DR	Bats	-	-	2005	-	PERAMABV41508-05
JX648407	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAMABV4953-06
JX648430	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAMABV51713-06
JX648479	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAPUBV10320-07
JX648485	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAPUBV10742-07
JX648511	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAPUBV12450-07
JX648484	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAPUBV12463-06
JX648476	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAPUBV13361-07
JX648509	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAPUBV13695-07
JX648538	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAPUBV1539-02
JX648513	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAPUBV15558-07
JX648494	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAPUBV16406-06
JX648507	Bos taurus	cow brain	DR	Bats	-	-	2003	-	PERAPUBV197-03
JX648491	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAPUBV20327-06
JX648521	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAPUBV24266-06
JX648508	Bos taurus	cow brain	DR	Bats	-	-	2003	-	PERAPUBV249-03
JX648500	Bos taurus	cow brain	DR	Bats	-	-	2003	-	PERAPUBV250-03
JX648522	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAPUBV25686-02
JX648528	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAPUBV25773-02
JX648529	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAPUBV25775-02
JX648498	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAPUBV27641-02
JX648490	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAPUBV28489-06
JX648540	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAPUBV3040-02
JX648496	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAPUBV35975-06
JX648541	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAPUBV3982-02
JX648519	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAPUBV40999-06
JX648501	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAPUBV41363-02
JX648447	Bos taurus	cow brain	DR	Bats	-	-	2004	-	PERAPUBV43925-04
JX648514	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAPUBV45653-06
JX648539	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAPUBV5119-02
JX648527	Bos taurus	cow brain	DR	Bats	-	-	2005	-	PERAPUBV5736-05
JX648526	Bos taurus	cow brain	DR	Bats	-	-	2005	-	PERAPUBV5737-05
JX648502	Bos taurus	cow brain	DR	Bats	-	-	2004	-	PERAYABV10421-04
JX648460	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAYABV10574-02
JX648411	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAYABV11313-07
JX648464	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAYABV11314-07
JX648455	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAYABV11316-07
JX648503	Bos taurus	cow brain	DR	Bats	-	-	2004	-	PERAYABV11462-04
JX648451	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAYABV1200456-07
JX648467	Bos taurus	cow brain	DR	Bats	-	-	2003	-	PERAYABV1234-03
JX648474	Bos taurus	cow brain	DR	Bats	-	-	2003	-	PERAYABV12387-03
JX648445	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAYABV12690-07
JX648446	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAYABV13485-07
JX648454	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAYABV14465-07
JX648448	Bos taurus	cow brain	DR	Bats	-	-	2005	-	PERAYABV14916-05
JX648495	Bos taurus	cow brain	DR	Bats	-	-	2004	-	PERAYABV17034-04
JX648465	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAYABV17556-02
JX648458	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAYABV19596-02
JX648457	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAYABV2138-02
JX648536	Bos taurus	cow brain	DR	Bats	-	-	2003	-	PERAYABV24139-03
JX648506	Bos taurus	cow brain	DR	Bats	-	-	2004	-	PERAYABV24247-04
JX648456	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAYABV24974-02
JX648472	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAYABV27821-02
JX648453	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAYABV28771-06
JX648535	Bos taurus	cow brain	DR	Bats	-	-	2003	-	PERAYABV29265-03
JX648468	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAYABV29517-02
JX648461	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAYABV30524-06
JX648452	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAYABV31905-06
JX648475	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAYABV32068-02
JX648462	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAYABV32674-06
JX648450	Bos taurus	cow brain	DR	Bats	-	-	2005	-	PERAYABV35266-05
JX648473	Bos taurus	cow brain	DR	Bats	-	-	2006	-	PERAYABV37818-06
JX648463	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERAYABV39012-02
JX648487	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAYABV5591-07
JX648449	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERAYABV9870-07
JX648432	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERCAJBV10590-07
JX648433	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERCAJBV13590-07
JX648396	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERCUSBV10999-07
JX648392	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERCUSBV11000-07
JX648391	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERCUSBV15589-07
JX648393	Bos taurus	cow brain	DR	Bats	-	-	2004	-	PERCUSBV26090-04
JX648444	Bos taurus	cow brain	DR	Bats	-	-	2003	-	PERCUSBV38910-03
JX648410	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERHUABV13139-07
JX648425	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERHUABV13735-07
JX648402	Bos taurus	cow brain	DR	Bats	-	-	2002	-	PERHUABV14643-02
JX648414	Bos taurus	cow brain	DR	Bats	-	-	2003	-	PERHUABV39200-03
JX648415	Bos taurus	cow brain	DR	Bats	-	-	2003	-	PERHUABV41340-03
JX648405	Bos taurus	cow brain	DR	Bats	-	-	2005	-	PERMDIBV29509-05
JX648404	Bos taurus	cow brain	DR	Bats	-	-	2004	-	PERMDIBV30578-04
JX648421	Bos taurus	cow brain	DR	Bats	-	-	2007	-	PERPASBV13969-07
