sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	vaccine	pubmedID_edit	pubmed_update	notes
U22481	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	8706ARS	Saudi Arabia	filled in	-	unchanged	1987	filled in	1987	filled in	1987	updated	Vulpes vulpes	filled in		no	no	7778285	unchanged	
U22482	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	8681IRA	Iran	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Canis lupus familiaris	filled in		no	no	7778285	unchanged	
U22483	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	8702IRA	Iran	filled in	-	unchanged	1987	filled in	1987	filled in	1987	updated	Canis lupus	filled in		no	no	7778285	unchanged	
U22840	AL_Cosmopolitan_CE	Cosmopolitan CE	-	-	-	-	-	1995	1350	21-Jul-95	01-Nov-95	-	7778285	8618POL	Poland	filled in	-	unchanged	1985	filled in	1985	filled in	1985	updated	Nyctereutes procyonoides	filled in		no	no	7778285	unchanged	
GU936869	AL_Cosmopolitan_EE	Cosmopolitan EE	-	-	-	1999	1999	1999	1317	08-Nov-10	25-Jul-16	deer	20826698	RV1237	Serbia	filled in	-	unchanged	1999	unchanged	1999	unchanged	1999	unchanged	deer	unchanged		no	no	20826698	unchanged	
GU936879	AL_Cosmopolitan_NEE	Cosmopolitan NEE	EST	Estonia	-	-	-	2010	1317	08-Nov-10	25-Jul-16	Canis familiaris	20826698	RV437	Estonia	unchanged	-	unchanged	-	unchanged	-	unchanged	2010	unchanged	Nyctereutes procyonoides	updated		no	no	20826698	unchanged	Raccoon dog pulled down as dog
AF369280	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Vulpes vulpes	12127791	V660.FX	Israel	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Vulpes vulpes	unchanged		no	no	12127791	unchanged	
AF369281	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Vulpes vulpes	12127791	V661.FX	Israel	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Vulpes vulpes	unchanged		no	no	12127791	unchanged	
AF369282	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Vulpes vulpes	12127791	V662.FX	Israel	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Vulpes vulpes	unchanged		no	no	12127791	unchanged	
AF369283	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Vulpes vulpes	12127791	V664.FX	Israel	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Vulpes vulpes	unchanged		no	no	12127791	unchanged	
AY353876	AL_Cosmopolitan_NEE	Cosmopolitan NEE	-	-	-	-	-	2004	854	01-Aug-04	26-Jul-16	-	15650080	rv1596	Russia	filled in	Pskov	filled in	-	unchanged	-	unchanged	2004	unchanged	Vulpes vulpes	filled in		no	no	15650080	unchanged	
AY353877	AL_Cosmopolitan_NEE	Cosmopolitan NEE	-	-	-	-	-	2004	854	01-Aug-04	26-Jul-16	-	15650080	rv245	Russia	filled in	Pskov	filled in	-	unchanged	-	unchanged	2004	unchanged	Homo sapiens	filled in		no	no	15650080	unchanged	
AF134334	AL_Cosmopolitan_EE	Cosmopolitan EE	HUN	Hungary	-	-	-	2000	690	01-Mar-00	30-Jul-02	Vulpes vulpes	10573146	9383HON	Hungary	unchanged	-	unchanged	1993	filled in	1993	filled in	1993	updated	Vulpes vulpes	unchanged		no	no	10573146	unchanged	
AF134335	AL_Cosmopolitan_NEE	Cosmopolitan NEE	EST	Estonia	-	-	-	2000	690	01-Mar-00	30-Jul-02	Canis familiaris	10573146	9339EST	Estonia	unchanged	-	unchanged	1991	filled in	1991	filled in	1991	updated	Canis familiaris	unchanged		no	no	10573146	unchanged	
AF134336	AL_Cosmopolitan_NEE	Cosmopolitan NEE	EST	Estonia	-	-	-	2000	690	01-Mar-00	30-Jul-02	Canis familiaris	10573146	9342EST	Estonia	unchanged	-	unchanged	1991	filled in	1991	filled in	1991	updated	Canis familiaris	unchanged		no	no	10573146	unchanged	
AF134337	AL_Cosmopolitan_CE	Cosmopolitan CE	DEU	Germany	-	-	-	2000	690	01-Mar-00	30-Jul-02	Vulpes vulpes	10573146	9212ALL	Germany	unchanged	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	unchanged		no	no	10573146	unchanged	
AF134338	AL_Cosmopolitan_CE	Cosmopolitan CE	DEU	Germany	-	-	-	2000	690	01-Mar-00	30-Jul-02	Vulpes vulpes	10573146	9202ALL	Germany	unchanged	-	unchanged	1991	filled in	1991	filled in	1991	updated	Vulpes vulpes	unchanged		no	no	10573146	unchanged	
AF134339	AL_Cosmopolitan_NEE	Cosmopolitan NEE	EST	Estonia	-	-	-	2000	690	01-Mar-00	30-Jul-02	Canis familiaris	10573146	9142EST	Estonia	unchanged	-	unchanged	1985	filled in	1985	filled in	1985	updated	Canis familiaris	unchanged		no	no	10573146	unchanged	
AF134340	AL_Cosmopolitan_EE	Cosmopolitan EE	HUN	Hungary	-	-	-	2000	690	01-Mar-00	30-Jul-02	Vulpes vulpes	10573146	9384HON	Hungary	unchanged	-	unchanged	1993	filled in	1993	filled in	1993	updated	Vulpes vulpes	unchanged		no	no	10573146	unchanged	
AF134341	AL_Cosmopolitan_EE	Cosmopolitan EE	BIH	Bosnia and Herzegovina	-	-	-	2000	690	01-Mar-00	30-Jul-02	Canis lupus	10573146	8653YOU	Bosnia and Herzegovina	unchanged	-	unchanged	1986	filled in	1986	filled in	1986	updated	Canis lupus	unchanged		no	no	10573146	unchanged	
EU180615	AL_Cosmopolitan_ME2	Cosmopolitan ME2	TUR	Turkey	-	-	-	2008	552	26-Sep-08	26-Jul-16	Homo sapiens	19549224	TR3	Turkey	unchanged	Aydin	filled in	2006	filled in	2006	filled in	2006	updated	Homo sapiens	filled in		no	no	19549224	unchanged	
EU180616	AL_Cosmopolitan_ME2	Cosmopolitan ME2	TUR	Turkey	-	-	-	2008	552	26-Sep-08	26-Jul-16	Homo sapiens	19549224	TR33	Turkey	unchanged	Kilis	filled in	2002	filled in	2002	filled in	2002	updated	Homo sapiens	filled in		no	no	19549224	unchanged	
EU180617	AL_Cosmopolitan_ME2	Cosmopolitan ME2	TUR	Turkey	-	-	-	2008	546	26-Sep-08	26-Jul-16	Homo sapiens	19549224	TR40	Turkey	unchanged	Adana	filled in	2006	filled in	2006	filled in	2006	updated	Homo sapiens	filled in		no	no	19549224	unchanged	
DQ443535	AL_Cosmopolitan_NEE	Cosmopolitan NEE	ROU	Romania	-	-	-	2006	534	08-Apr-06	26-Jul-16	Vulpes vulpes	20178821	RO-TL	Romania	unchanged	Tulcea	filled in	2005	filled in	2005	filled in	2005	updated	Vulpes vulpes	filled in		no	no	20178821	unchanged	
EU180618	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	TUR	Turkey	-	-	-	2008	527	26-Sep-08	26-Jul-16	Homo sapiens	19549224	TR149	Turkey	unchanged	Agri	filled in	2004	filled in	2004	filled in	2004	updated	Homo sapiens	filled in		no	no	19549224	unchanged	
DQ300294	AL_Cosmopolitan_EE	Cosmopolitan EE	BGR	Bulgaria	-	-	-	2006	500	30-Nov-06	26-Jul-16	Vulpes vulpes	17129686	Bul#7	Bulgaria	unchanged	Vidin	filled in	2003	filled in	2003	filled in	2003	updated	Vulpes vulpes	filled in		no	no	17129686	unchanged	
AY359244	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	central region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox26/02	Israel	unchanged	central region	unchanged	2002	filled in	2002	filled in	2002	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359245	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	central region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox32/02	Israel	unchanged	central region	unchanged	2002	filled in	2002	filled in	2002	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359246	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	central region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox33/02	Israel	unchanged	central region	unchanged	2002	filled in	2002	filled in	2002	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359247	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	central region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Dog52/02	Israel	unchanged	central region	unchanged	2002	filled in	2002	filled in	2002	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	
AY359248	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	southern region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox59/02	Israel	unchanged	southern region	unchanged	2002	filled in	2002	filled in	2002	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359249	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	central region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Cat61/02	Israel	unchanged	central region	unchanged	2002	filled in	2002	filled in	2002	updated	Felis catus	filled in		no	no	-	unchanged	
AY359250	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	southern region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Camel63/02	Israel	unchanged	southern region	unchanged	2002	filled in	2002	filled in	2002	updated	Camelus	filled in		no	no	-	unchanged	
AY359251	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	central region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox4/03	Israel	unchanged	central region	unchanged	2003	filled in	2003	filled in	2003	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359252	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	central region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox7/03	Israel	unchanged	central region	unchanged	2003	filled in	2003	filled in	2003	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359253	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	central region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox8/03	Israel	unchanged	central region	unchanged	2003	filled in	2003	filled in	2003	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359254	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	southern region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox9/03	Israel	unchanged	southern region	unchanged	2003	filled in	2003	filled in	2003	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359255	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	central region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Dog10/03	Israel	unchanged	central region	unchanged	2003	filled in	2003	filled in	2003	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	
AY359256	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	central region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Horse12/03	Israel	unchanged	central region	unchanged	2003	filled in	2003	filled in	2003	updated	Equus caballus	filled in		no	no	-	unchanged	
AY359257	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	southern region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Camel13/03	Israel	unchanged	southern region	unchanged	2003	filled in	2003	filled in	2003	updated	Camelus	filled in		no	no	-	unchanged	
AY359258	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	southern region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox14/03	Israel	unchanged	southern region	unchanged	2003	filled in	2003	filled in	2003	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359259	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	southern region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox15/03	Israel	unchanged	southern region	unchanged	2003	filled in	2003	filled in	2003	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359260	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	southern region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox16/03	Israel	unchanged	southern region	unchanged	2003	filled in	2003	filled in	2003	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359261	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	southern region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Camel17/03	Israel	unchanged	southern region	unchanged	2003	filled in	2003	filled in	2003	updated	Camelus	filled in		no	no	-	unchanged	
AY359262	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	central region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox18/03	Israel	unchanged	central region	unchanged	2003	filled in	2003	filled in	2003	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359263	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	central region	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Fox19/03	Israel	unchanged	central region	unchanged	2003	filled in	2003	filled in	2003	updated	Vulpes vulpes	filled in		no	no	-	unchanged	
AY359264	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	Mikhmoret	-	-	2004	469	31-Aug-04	31-Aug-04	-	-	Dog20/03	Israel	unchanged	Mikhmoret	unchanged	2003	filled in	2003	filled in	2003	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	
DQ181634	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2002	2002	2002	469	13-Sep-05	13-Sep-05	-	-	ad7237fx	Israel	filled in	Arad	filled in	2002	unchanged	2002	unchanged	2002	unchanged	Vulpes vulpes	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.301
DQ181635	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2002	2002	2002	469	13-Sep-05	13-Sep-05	-	-	bg0787fx	Israel	filled in	Abu Goush	filled in	2002	unchanged	2002	unchanged	2002	unchanged	Vulpes vulpes	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.302
DQ181636	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2002	2002	2002	469	13-Sep-05	13-Sep-05	-	-	Gh0992fx	Israel	filled in	Givon Hahadsha	filled in	2002	unchanged	2002	unchanged	2002	unchanged	Vulpes vulpes	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.303
DQ181637	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2003	2003	2003	469	13-Sep-05	13-Sep-05	-	-	jr0898dg	Israel	filled in	Jerusalem	filled in	2003	unchanged	2003	unchanged	2003	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.304
DQ181638	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2001	2001	2001	469	13-Sep-05	13-Sep-05	-	-	jr1007fx	Israel	filled in	Jerusalem	filled in	2001	unchanged	2001	unchanged	2001	unchanged	Vulpes vulpes	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.305
DQ181639	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2003	2003	2003	469	13-Sep-05	13-Sep-05	-	-	jr1044fx	Israel	filled in	Jerusalem	filled in	2003	unchanged	2003	unchanged	2003	unchanged	Vulpes vulpes	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.306
DQ181640	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	1998	1998	1998	469	13-Sep-05	13-Sep-05	-	-	jr4802dg	Israel	filled in	Jerusalem	filled in	1998	unchanged	1998	unchanged	1998	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.307
DQ181641	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2002	2002	2002	469	13-Sep-05	13-Sep-05	-	-	jr5120Jk	Israel	filled in	Jerusalem	filled in	2002	unchanged	2002	unchanged	2002	unchanged	Canis aureus	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.308
DQ181642	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2003	2003	2003	469	13-Sep-05	13-Sep-05	-	-	jr5689dg	Israel	filled in	Jerusalem	filled in	2003	unchanged	2003	unchanged	2003	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.309
DQ181643	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	1996	1996	1996	469	13-Sep-05	13-Sep-05	-	-	jr6462dg	Israel	filled in	Jerusalem	filled in	1996	unchanged	1996	unchanged	1996	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.310
DQ181644	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2004	2004	2004	469	13-Sep-05	13-Sep-05	-	-	jr8265dx	Israel	filled in	Jerusalem	filled in	2004	unchanged	2004	unchanged	2004	unchanged	Addax nasomaculatus	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.311
DQ181645	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2002	2002	2002	469	13-Sep-05	13-Sep-05	-	-	jr9331fx	Israel	filled in	Jerusalem	filled in	2002	unchanged	2002	unchanged	2002	unchanged	Vulpes vulpes	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.312
DQ181646	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2003	2003	2003	469	13-Sep-05	13-Sep-05	-	-	md9722fx	Israel	filled in	Ma'ale Adumim	filled in	2003	unchanged	2003	unchanged	2003	unchanged	Vulpes vulpes	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.313
DQ181647	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2002	2002	2002	469	13-Sep-05	13-Sep-05	-	-	nd6416ma	Israel	filled in	Neve Daniel	filled in	2002	unchanged	2002	unchanged	2002	unchanged	Martes foina	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.314
DQ181648	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2003	2003	2003	469	13-Sep-05	13-Sep-05	-	-	zh8101ct	Israel	filled in	Tzur Hadassa	filled in	2003	unchanged	2003	unchanged	2003	unchanged	Felis catus	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.315
DQ181649	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	-	-	-	2002	2002	2002	469	13-Sep-05	13-Sep-05	-	-	Gh3234fx	Israel	filled in	Givon Hahadsha	filled in	2002	unchanged	2002	unchanged	2002	unchanged	Vulpes vulpes	filled in		no	no	-	unchanged	http://dx.doi.org/10.1136/vr.160.9.316
EU589958	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	-	-	-	2009	469	31-Mar-09	31-Mar-09	-	-	Fox4429/2007	Israel	unchanged	-	unchanged	2007	filled in	2007	filled in	2007	updated	Vulpes vulpes	filled in		no	no	-	unchanged	From isolate ID
EU589959	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	-	-	-	2009	469	31-Mar-09	31-Mar-09	-	-	Dog9445/2006	Israel	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	From isolate ID
EU589960	AL_Cosmopolitan_ME1a	Cosmopolitan ME1a	ISR	Israel	-	-	-	2009	469	31-Mar-09	31-Mar-09	-	-	Fox9934/2006	Israel	unchanged	-	unchanged	2006	filled in	2006	filled in	2006	updated	Vulpes vulpes	filled in		no	no	-	unchanged	From isolate ID
