Number	sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	Vaccine	pubmedID_edit	pubmed_update	Notes
189	LC009635	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2014	1575	12-Nov-14	12-Nov-14	-	-	CVS-26(G-N204S)	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2014	unchanged	-	unchanged		yes	no	-	unchanged	CVS - isolate name
14	AF085333	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1998	1572	08-Sep-98	01-Sep-98	-	4544144	CVS-11 (RFFIT)	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1998	unchanged	-	unchanged		yes	no	4544144	unchanged	CVS - isolate name
165	KC791802	AL_Cosmopolitan	Cosmopolitan	USA	United States	-	2002	2002	2002	1572	18-Jun-13	18-Jun-13	-	-	A02_3270	United States	unchanged	-	unchanged	2002	unchanged	2002	unchanged	2002	unchanged	-	unchanged		no	no	-	unchanged	Might be strain, not clear
166	KC791877	AL_Cosmopolitan	Cosmopolitan	USA	United States	-	-	-	2013	1572	18-Jun-13	18-Jun-13	-	-	A11_1197	United States	unchanged	-	unchanged	-	unchanged	-	unchanged	2013	unchanged	-	unchanged		yes	no	-	unchanged	Might be strain, not clear
198	MH460409	AL_Cosmopolitan	Cosmopolitan	THA	Thailand	-	2017	2017	2017	1572	16-Feb-19	16-Feb-19	-	-	CVS-11,12/17	Thailand	unchanged	-	unchanged	2017	unchanged	2017	unchanged	2017	unchanged	-	unchanged		yes	no	-	unchanged	CVS - isolate name
163	JN561127	AL_Cosmopolitan	Cosmopolitan	IND	India	-	2009	2009	2009	1468	26-Dec-11	26-Dec-11	-	-	CVS	India	unchanged	-	unchanged	2009	unchanged	2009	unchanged	2009	unchanged	-	unchanged		yes	no	-	unchanged	CVS - isolate name
136	D42112	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1994	1448	28-Nov-94	09-Feb-99	-	3459163	CVS	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1994	unchanged	-	unchanged		yes	no	3459163	unchanged	CVS - isolate name
3	AB010494	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1998	1424	05-Feb-98	28-May-13	-	-	Nishigahara	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1998	unchanged	-	unchanged		no	yes	-	unchanged	Dog vaccine strain - isolate name
135	D16331	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1993	1404	26-Jul-93	28-May-13	-	8073640	RC-HL	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1993	unchanged	-	unchanged		no	yes	8073640	unchanged	Vaccine strain - isolate name
197	M61047	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1993	1401	03-Aug-93	31-Jul-91	-	1840709	-	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1993	unchanged	-	unchanged		yes	no	1840709	unchanged	CVS N in vaccinia virus
5	AB069973	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2002	1353	15-Aug-02	12-Aug-09	-	12895231	CVS-11	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2002	unchanged	-	unchanged		yes	no	12895231	unchanged	CVS - isolate name
15	AF155039	AL_Cosmopolitan	Cosmopolitan	CHN	China	-	-	-	1999	1353	24-Jun-99	11-Jun-99	-	-	3AG	China	unchanged	-	unchanged	-	unchanged	-	unchanged	1999	unchanged	-	unchanged		no	yes	-	unchanged	Vaccine strain
147	EU282381	AL_Cosmopolitan	Cosmopolitan	CHN	China	-	-	-	2007	1353	05-Dec-07	05-Dec-07	-	-	CHVC06	China	unchanged	Yunnan	filled in	2006	filled in	2006	filled in	2006	updated	Mus	filled in	Mouse	no	no	-	unchanged	Mouse
157	GU992321	AL_Cosmopolitan	Cosmopolitan	FRA	France	-	1988	1988	1988	1353	27-Apr-10	10-Aug-10	-	-	CVS	France	unchanged	-	unchanged	1988	unchanged	1988	unchanged	1988	unchanged	-	unchanged		yes	no	-	unchanged	CVS - isolate name
158	GU992323	AL_Cosmopolitan	Cosmopolitan	FRA	France	-	1976	1976	1976	1353	27-Apr-10	10-Aug-10	-	-	Pitman Moore (PM)	France	unchanged	-	unchanged	1976	unchanged	1976	unchanged	1976	unchanged	-	unchanged		no	yes	-	unchanged	Vaccine strain - isolate name
159	GU992324	AL_Cosmopolitan	Cosmopolitan	FRA	France	-	1985	1985	1985	1353	27-Apr-10	10-Aug-10	-	-	Flury LEP	France	unchanged	-	unchanged	1985	unchanged	1985	unchanged	1985	unchanged	-	unchanged		no	yes	-	unchanged	Vaccine strain - isolate name
160	GU992325	AL_Cosmopolitan	Cosmopolitan	FRA	France	-	1985	1985	1985	1353	27-Apr-10	10-Aug-10	-	-	Flury HEP	France	unchanged	-	unchanged	1985	unchanged	1985	unchanged	1985	unchanged	-	unchanged		no	yes	-	unchanged	Vaccine strain - isolate name
168	KF733451	AL_Cosmopolitan	Cosmopolitan	FRA	France	-	2013	2013	2013	1353	24-Dec-13	24-Dec-13	-	-	CVS-11_12-10	France	unchanged	-	unchanged	2013	unchanged	2013	unchanged	2013	unchanged	-	unchanged		yes	no	-	unchanged	CVS - isolate name
175	KR105374	AL_Cosmopolitan	Cosmopolitan	IND	India	-	2014	2014	2014	1353	04-Oct-15	08-Dec-15	-	26645040	CVS-11/BHK-21/IVRI	India	unchanged	-	unchanged	2014	unchanged	2014	unchanged	2014	unchanged	-	unchanged		yes	no	26645040	unchanged	CVS - isolate name
13	AF045664	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1998	1350	12-Dec-98	13-May-98	-	-	fox	Europe	filled in	-	unchanged	-	unchanged	-	unchanged	1998	unchanged	Vulpes vulpes	filled in		no	no	-	unchanged	
179	KU963489	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2016	1350	06-Nov-16	06-Nov-16	Canis familiaris	-	SN2-62-CanineCHINA2005	China	filled in	-	unchanged	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	-	unchanged	From Isolate name
180	KU963490	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2016	1350	06-Nov-16	06-Nov-16	Canis familiaris	-	SN3-PeruDog	Peru	filled in	-	unchanged	-	unchanged	-	unchanged	2016	unchanged	Canis familiaris	unchanged		no	no	-	unchanged	From Isolate name
181	KU963493	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2016	1350	06-Nov-16	06-Nov-16	skunk	-	SN6-18-SkunkUSA1984	United States	filled in	-	unchanged	1984	filled in	1984	filled in	1984	updated	skunk	unchanged		no	no	-	unchanged	From Isolate name
182	KU963498	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2016	1350	06-Nov-16	06-Nov-16	Vulpes vulpes	-	SN11-20-TexasGrayFoxUSA1994	United States	filled in	Texas	filled in	1994	filled in	1994	filled in	1994	updated	Vulpes vulpes	unchanged		no	no	-	unchanged	From Isolate name
183	KU963502	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2016	1350	06-Nov-16	06-Nov-16	Canis familiaris	-	SN15-22-CaninePuertoRico2006	Puerto Rico	filled in	-	unchanged	2006	filled in	2006	filled in	2006	updated	Canis familiaris	unchanged		no	no	-	unchanged	From Isolate name
184	KU963506	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2016	1350	06-Nov-16	06-Nov-16	-	-	SN19-63-CVS11Japan2001	Japan	filled in	-	unchanged	2001	filled in	2001	filled in	2001	updated	-	unchanged		no	no	-	unchanged	From Isolate name
8	AB206411	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	-	-	2005	1332	06-Sep-05	14-Jul-16	-	16599183	BR-Pfx5	Brazil	unchanged	-	unchanged	2005	filled in	2005	filled in	2005	updated	Vulpes vulpes	filled in		no	no	16599183	unchanged	
155	GU936866	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2010	1317	08-Nov-10	25-Jul-16	-	20826698	LEP	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2010	unchanged	-	unchanged		no	yes	20826698	unchanged	No information but probably vaccine strain (LEP)
156	GU936876	AL_Cosmopolitan	Cosmopolitan	CHN	China	-	-	-	2010	1317	08-Nov-10	25-Jul-16	-	20826698	RV334	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2010	unchanged	-	unchanged		no	yes	20826698	unchanged	Vaccine
206	X55727	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1990	991	18-Dec-90	09-May-95	-	2148206	CV-11(challenge virus standard-11)	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1990	unchanged	-	unchanged		yes	no		unchanged	CVS - isolate name
207	X57783	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1994	991	20-Jun-94	20-Jun-94	-	-	CVS	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1994	unchanged	-	unchanged		yes	no	-	unchanged	CVS - isolate name
31	AH011791	AL_Cosmopolitan	Cosmopolitan	IND	India	-	-	-	2002	929	27-Aug-02	06-Apr-16	-	-	CVS	India	unchanged	-	unchanged	-	unchanged	-	unchanged	1995	unchanged	-	unchanged		yes	no	-	unchanged	CVS - isolate name
20	AF369264	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	-	12127791	V015	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	-	unchanged		no	yes	12127791	unchanged	HEP-Flury Strain
21	AF369271	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Vulpes vulpes	12127791	V224.GFX	USA	filled in	Texas	filled in	1994	filled in	1994	filled in	1994	updated	Bos	updated	Bovine	no	no	12127791	unchanged	
22	AF369278	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Vulpes vulpes	12127791	V280.RFX	France	filled in	-	unchanged	1976	filled in	1976	filled in	1976	updated	Vulpes vulpes	unchanged		no	no	12127791	unchanged	
23	AF369303	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Caribbean mongoose	12127791	90002.MG	Puerto Rico	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Herpestes javanicus	updated	Caribbean mongoose	no	no	12127791	unchanged	
24	AF369316	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Canis familiaris	12127791	C1.DG	China	filled in	Beijing	filled in	1985	filled in	1985	filled in	1985	updated	Mus	updated	Mouse	no	no	12127791	unchanged	
25	AF369323	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Canis familiaris	12127791	V001.DG	Peru	filled in	-	unchanged	1985	filled in	1985	filled in	1985	updated	Canis familiaris	unchanged		no	no	12127791	unchanged	
26	AF369327	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Canis familiaris	12127791	V463.DG	Nigeria	filled in	-	unchanged	1996	filled in	1996	filled in	1996	updated	Canis familiaris	unchanged		no	no	12127791	unchanged	
27	AF369329	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	Canis familiaris	12127791	V466.DG	Nigeria	filled in	-	unchanged	1996	filled in	1996	filled in	1996	updated	Canis familiaris	unchanged		no	no	12127791	unchanged	
137	DQ011221	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2005	914	14-May-05	14-May-05	-	-	98	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2005	unchanged	-	unchanged		yes	no	-	unchanged	CVS
141	DQ646875	AL_Cosmopolitan	Cosmopolitan	CHN	China	-	-	-	2007	894	01-Jan-07	01-Jan-07	-	-	PG	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2007	unchanged	-	unchanged		no	yes	-	unchanged	Vaccine strain
195	M22013	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1993	817	03-Aug-93	15-Jun-89	-	3765822	-	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2005	unchanged	-	unchanged		yes	no	3765822	unchanged	Clone
185	KX009506	AL_Cosmopolitan	Cosmopolitan	KAZ	Kazakhstan	-	-	-	2016	796	20-Nov-16	20-Nov-16	-	-	VRC-RZ2	Kazakhstan	unchanged	-	unchanged	-	unchanged	-	unchanged	2016	unchanged	-	unchanged		no	yes	-	unchanged	live modified strain, vaccine
203	U72049	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1996	742	19-Nov-96	17-Dec-02	Sika Deer	-	Rabies Street virus; Strain 8202	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1996	unchanged	Sika Deer	unchanged		no	no	-	unchanged	
204	U72051	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1996	742	19-Nov-96	17-Dec-02	field mouse	-	Rabies Street virus; Strain MRV	-	unchanged	-	unchanged	-	unchanged	-	unchanged	1996	unchanged	field mouse	unchanged		no	no	-	unchanged	
131	D10482	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1993	609	29-Apr-93	21-May-03	-	8470369	Nishigahara (RCEH)	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2005	unchanged	-	unchanged		no	yes	8470369	unchanged	Isolate name - dog vaccine
132	D10499	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	1993	609	29-Apr-93	21-May-03	-	8470369	CVS	-	unchanged	-	unchanged	-	unchanged	-	unchanged	2005	unchanged	-	unchanged		yes	no	8470369	unchanged	Isolate name - CVS
